"","X.1","X","Address","Room","Model","Year","Area","Price","Type","lon","lat","street_name","blk/postalcode","postal_code","postal_2dgt","Postal_District","Region"
"28",28,28,"  Blk 165A Punggol Central Singapore","4-Room","Premium Apartment"," Built-2004","95 sqm / $418 psf(Built)",428000,"Resale",103.914794,1.3952225,"165a punggol central"," singapore 821165"," singapore 821165","82","19","North-East"
"29",29,29,"  Blk 673B Edgefield Plains Singapore","4-Room","Model A"," Built-2015","90 sqm / $490 psf(Built)",475000,"Resale",103.9110911,1.4069768,"673b edgefield plains"," singapore 822673"," singapore 822673","82","19","North-East"
"30",30,30,"  Blk 213C Punggol Walk Singapore","4-Room","Model A"," Built-2015","93 sqm / $454 psf(Built)",455000,"Resale",103.8987968,1.4008405,"213c punggol walk"," singapore 828792"," singapore 828792","82","19","North-East"
"31",31,31,"  Blk 208A Punggol Place Singapore","3-Room","New Generation"," Built-2014","67 sqm / $527 psf(Built)",380000,"Resale",103.9012184,1.4008219,"208a punggol pl"," singapore 821208"," singapore 821208","82","19","North-East"
"32",32,32,"  Blk 681 Race Course Road Singapore","4-Room","Model A"," Built-1986","103 sqm / $532 psf(Built)",590888,"Resale",103.855277,1.3140759,"681 race course rd"," block 681"," singapore 210681","21","08","Central"
"33",33,33,"  Blk 113 Bishan Street 12 Singapore","4-Room","Simplified"," Built-1986","84 sqm / $553 psf(Built)",500000,"Resale",103.8485727,1.3472701,"113 bishan street 12"," block 113"," singapore 570113","57","20","North-East"
"34",34,34,"  Blk 155 Lorong 1 Toa Payoh Singapore","4-Room","Model A"," Built-1999","101 sqm / $651 psf(Built)",708000,"Resale",103.84558,1.3327228,"155 lor 1 toa payoh"," block 155"," singapore 310155","31","12","Central"
"35",35,35,"  Blk 52 Telok Blangah Drive Singapore","5-Room","Improved"," Built-1978","118 sqm / $511 psf(Built)",650000,"Resale",103.8111707,1.2738102,"52 telok blangah dr"," block 52"," singapore 100052","10","04","Central"
"36",36,36,"  Blk 70 Lorong 4 Toa Payoh Singapore","3-Room","Improved"," Built-1969","64 sqm / $403 psf(Built)",278000,"Resale",103.8522881,1.3346601,"70 lor 4 toa payoh"," block 70"," singapore 310070","31","12","Central"
"37",37,37,"  Blk 332B Anchorvale Link Singapore","5-Room","Improved"," Built-2015","112 sqm / $538 psf(Built)",650000,"Resale",103.8914065,1.3951513,"332c anchorvale link"," blk 332b"," singapore 543332","54","19","North-East"
"38",38,38,"  Blk 344 Ang Mo Kio Avenue 3 Singapore","4-Room","New Generation"," Built-1978","98 sqm / $454 psf(Built)",480000,"Resale",103.8492068,1.3679934,"344 ang mo kio ave 3"," block 344"," singapore 560344","56","20","North-East"
"39",39,39,"  Blk 310C Punggol Walk Singapore","5-Room","Premium Apartment"," Built-2016","112 sqm / $526 psf(Built)",635000,"Resale",103.8999638,1.4096731,"310 c punggol walk"," singapore 822310"," singapore 822310","82","19","North-East"
"40",40,40,"  Blk 807A Chai Chee Road Singapore","3-Room","Model A"," Built-2016","68 sqm / $710 psf(Built)",520000,"Resale",103.9232433,1.3272024,"807a chai chee rd"," singapore 461808"," singapore 461808","46","16","East"
"41",41,41,"  Blk 479 Sembawang Drive Singapore","4-Room","Model A"," Built-2000","88 sqm / $411 psf(Built)",390000,"Resale",103.815694,1.4526098,"479 sembawang dr"," block 479"," singapore 750479","75","27","North"
"42",42,42,"  Blk 7 Everton Park Singapore","3-Room","Improved"," Built-1980","78 sqm / $565 psf(Built)",475000,"Resale",103.8392427,1.2770881,"7 everton park"," block 7"," singapore 080007","08","02","Central"
"43",43,43,"  Blk 311C Trivelis Singapore","4-Room","New Generation"," Built-2014","80 sqm / $915 psf(Built)",788000,"Resale",103.7655694,1.3191667,"311a clementi ave 4"," singapore 121311"," singapore 121311","12","05","West"
"44",44,44,"  Blk 249 Tampines Street 21 Singapore","4-Room","Model A"," Built-1984","103 sqm / $458 psf(Built)",508000,"Resale",103.9484346,1.3518862,"249 tampines street 21"," block 249"," singapore 520249","52","18","East"
"45",45,45,"  Blk 530 Bedok North Street 3 Singapore","3-Room","New Generation"," Built-1979","68 sqm / $382 psf(Built)",280000,"Resale",103.9269518,1.3337144,"530 bedok north street 3"," block 530"," singapore 460530","46","16","East"
"46",46,46,"  Blk 672A Klang Lane Singapore","5-Room","Improved"," Built-2002","105 sqm / $495 psf(Built)",560000,"Resale",103.8524905,1.3085134,"672a klang ln"," singapore 211672"," singapore 211672","21","08","Central"
"47",47,47,"  Blk 55 Chai Chee Drive Singapore","3-Room","Model A"," Built-1984","76 sqm / $366 psf(Built)",300000,"Resale",103.9193384,1.3271729,"55 chai chee dr"," block 55"," singapore 460055","46","16","East"
"48",48,48,"  Blk 121 Bedok North Road Singapore","4-Room","New Generation"," Built-1978","92 sqm / $434 psf(Built)",430000,"Resale",103.9387352,1.3296222,"121 bedok north rd"," block 121"," singapore 460121","46","16","East"
"49",49,49,"  Blk 268D Punggol Field Singapore","5-Room","Improved"," Built-2013","112 sqm / $663 psf(Built)",800000,"Resale",103.8982373,1.4034272,"268d punggol field"," singapore 824268"," singapore 824268","82","19","North-East"
