"","flat_type","town","ID","Town/Name","Project Name","End of MOP","Launch Date","Year Completed","Total Units","lon","lat","Type","num_of_units","price1"
"310","3-Room","JURONG WEST","M175","Jurong West","Boon Lay View",2022,"26 Nov 2013",2017,140,103.7109866,1.3504655,"MOP",140,289281.412314246
"311","3-Room","JURONG WEST","M176","Jurong West","Boon Lay Glade",2027,"12 Feb 2019",2022,64,103.6936205,1.3354284,"MOP",64,289281.412314246
"313","3-Room","JURONG WEST","M177","Jurong West","Spring Haven @ Jurong",2022,"30 May 2013",2017,150,103.7197797,1.3532112,"MOP",150,289281.412314246
"315","3-Room","JURONG WEST","M178","Jurong West","Jurong West Jewel",2027,"12 Feb 2019",2022,102,103.6936205,1.3354284,"MOP",102,289281.412314246
"316","3-Room","KALLANG/WHAMPOA","M179","Kallang/Whampoa","McNair Towers",2021,"30 May 2012",2016,115,103.8599708,1.3211714,"MOP",115,324266.161574002
"317","3-Room","KALLANG/WHAMPOA","M180","Kallang/Whampoa","St. George’s Towers",2024,"24 Sep 2014",2019,124,103.862117,1.3222715,"MOP",124,324266.161574002
"318","3-Room","KALLANG/WHAMPOA","M181","Kallang/Whampoa","Tenteram Peak",2021,"27 Sep 2012",2016,319,103.8607766,1.3282925,"MOP",319,324266.161574002
"319","3-Room","KALLANG/WHAMPOA","M182","Kallang/Whampoa","Kempas Residences",2029,"22 May 2019",2024,115,103.8593269,1.3172849,"MOP",115,324266.161574002
"320","3-Room","KALLANG/WHAMPOA","M183","Kallang/Whampoa","Whampoa Dew",2022,"29 Jan 2013",2017,249,103.8555599,1.3250457,"MOP",249,324266.161574002
"321","3-Room","KALLANG/WHAMPOA","M184","Kallang/Whampoa","Bendemeer Light",2021,"30 May 2012",2016,212,103.8603679,1.3152039,"MOP",212,324266.161574002
"322","3-Room","KALLANG/WHAMPOA","M185","Kallang/Whampoa","Kallang Residences",2026,"22 Nov 2016",2021,85,103.869263,1.3215389,"MOP",85,324266.161574002
"323","3-Room","KALLANG/WHAMPOA","M186","Kallang/Whampoa","Towner Crest",2028,"12 Feb 2019",2023,104,103.8738138,1.3143776,"MOP",104,324266.161574002
"324","3-Room","KALLANG/WHAMPOA","M187","Kallang/Whampoa","Kallang Breeze",2027,"12 Feb 2019",2022,88,103.8738138,1.3143776,"MOP",88,324266.161574002
"325","3-Room","PASIR RIS","M188","Pasir Ris","Costa Grove",2030,"12 Aug 2020",2025,160,103.9472922,1.3773575,"MOP",160,357715.015474074
"326","3-Room","PUNGGOL","M189","Punggol","Waterway Terraces II",2020,"25 Apr 2011",2015,118,103.9007848,1.4093609,"MOP",118,375550.909843029
"327","3-Room","PUNGGOL","M190","Punggol","Punggol Point Crown",2028,"11 Sep 2019",2023,98,103.9110284,1.4193302,"MOP",98,375550.909843029
"328","3-Room","PUNGGOL","M191","Punggol","Punggol Topaz",2020,"22 Dec 2010",2015,184,103.8962771,1.4048583,"MOP",184,375550.909843029
"329","3-Room","PUNGGOL","M192","Punggol","Punggol Vue",2022,"22 Jan 2014",2017,266,103.8989687,1.4125294,"MOP",266,375550.909843029
"330","3-Room","PUNGGOL","M193","Punggol","Waterway Ridges",2020,"24 Nov 2011",2015,224,103.9132209,1.4059009,"MOP",224,375550.909843029
"331","3-Room","PUNGGOL","M194","Punggol","Waterway Terraces",2020,"30 Jun 2010",2015,178,103.9007848,1.4093609,"MOP",178,375550.909843029
"333","3-Room","PUNGGOL","M195","Punggol","Waterfront II @ Northshore",2025,"17 Nov 2015",2020,115,103.9017599,1.4184607,"MOP",115,375550.909843029
"334","3-Room","PUNGGOL","M196","Punggol","Northshore StraitsView",2025,"17 Nov 2015",2020,98,103.9022587,1.4160392,"MOP",98,375550.909843029
"336","3-Room","PUNGGOL","M197","Punggol","Punggol Point Woods",2028,"28 Aug 2018",2023,98,103.9107426,1.4171146,"MOP",98,375550.909843029
"337","3-Room","PUNGGOL","M198","Punggol","Northshore Residences I",2025,"27 May 2015",2020,64,103.9016318,1.4162076,"MOP",64,375550.909843029
"338","3-Room","PUNGGOL","M199","Punggol","Punggol Point Cove",2029,"11 Sep 2019",2024,91,103.9110284,1.4193302,"MOP",91,375550.909843029
"339","3-Room","PUNGGOL","M200","Punggol","Punggol Bayview",2023,"22 Jan 2014",2018,202,103.896661,1.4100354,"MOP",202,375550.909843029
"340","3-Room","PUNGGOL","M201","Punggol","Waterway Sunray",2022,"19 Jul 2014",2017,96,103.9188218,1.4006575,"MOP",96,375550.909843029
"342","3-Room","PUNGGOL","M202","Punggol","Waterway View",2022,"26 Sep 2013",2017,190,103.9162668,1.4034847,"MOP",190,375550.909843029
"343","3-Room","PUNGGOL","M203","Punggol","Punggol Edge",2021,"30 May 2012",2016,128,103.9093692,1.3940868,"MOP",128,375550.909843029
"344","3-Room","PUNGGOL","M204","Punggol","Waterway SunDew",2021,"30 May 2012",2016,152,103.9182035,1.4020224,"MOP",152,375550.909843029
"345","3-Room","PUNGGOL","M205","Punggol","Waterfront I @ Northshore",2025,"17 Nov 2015",2020,116,103.9022587,1.4160392,"MOP",116,375550.909843029
"346","3-Room","PUNGGOL","M206","Punggol","Waterway Sunrise II",2026,"14 Feb 2017",2021,95,103.9199535,1.399918,"MOP",95,375550.909843029
"347","3-Room","PUNGGOL","M207","Punggol","Waterway Sunrise I",2026,"22 Nov 2016",2021,80,103.9199535,1.399918,"MOP",80,375550.909843029
"348","3-Room","PUNGGOL","M208","Punggol","Northshore Residences II",2025,"27 May 2015",2020,48,103.9016318,1.4162076,"MOP",48,375550.909843029
"349","3-Room","PUNGGOL","M209","Punggol","Waterway Cascadia",2021,"31 Jul 2012",2016,242,103.8971675,1.4089818,"MOP",242,375550.909843029
"350","3-Room","PUNGGOL","M210","Punggol","Waterway Sunbeam",2020,"12 Jan 2012",2015,185,103.9172233,1.3995851,"MOP",185,375550.909843029
"351","3-Room","PUNGGOL","M211","Punggol","Northshore Trio",2026,"22 Nov 2016",2021,94,103.9022587,1.4160392,"MOP",94,375550.909843029
"352","3-Room","PUNGGOL","M212","Punggol","Waterway Woodcress",2020,"22 Sep 2011",2015,100,103.909202,1.4059811,"MOP",100,375550.909843029
"353","3-Room","PUNGGOL","M213","Punggol","Punggol Point Cove",2028,"28 Aug 2018",2023,92,103.9110284,1.4193302,"MOP",92,375550.909843029
"354","3-Room","PUNGGOL","M214","Punggol","Matilda Edge",2022,"26 Sep 2013",2017,538,103.8947345,1.4019567,"MOP",538,375550.909843029
"356","3-Room","PUNGGOL","M215","Punggol","Punggol Opal",2020,"31 Jul 2012",2015,144,103.8954588,1.4055689,"MOP",144,375550.909843029
"357","3-Room","PUNGGOL","M216","Punggol","Northshore Cove",2026,"14 Feb 2017",2021,114,103.9062482,1.4199116,"MOP",114,375550.909843029
"359","3-Room","PUNGGOL","M217","Punggol","Matilda Court",2022,"19 Jul 2014",2017,112,103.8909577,1.4023353,"MOP",112,375550.909843029
"360","3-Room","QUEENSTOWN","M218","Queenstown","Ghim Moh Edge",2022,"21 Nov 2012",2017,296,103.7837286,1.3087489,"MOP",296,338006.733014678
"361","3-Room","SEMBAWANG","M219","Sembawang","Sun Breeze",2023,"25 Nov 2014",2018,116,103.8171695,1.4439364,"MOP",116,353927.484146835
"363","3-Room","SEMBAWANG","M220","Sembawang","EastBrook @ Canberra",2022,"30 May 2013",2017,263,103.8329686,1.4499034,"MOP",263,353927.484146835
"364","3-Room","SEMBAWANG","M221","Sembawang","Sun Natura",2023,"19 Jul 2014",2018,121,103.813649,1.4468175,"MOP",121,353927.484146835
"366","3-Room","SEMBAWANG","M222","Sembawang","EastGlen @ Canberra",2025,"13 Nov 2018",2020,83,103.8299002,1.4482246,"MOP",83,353927.484146835
"369","3-Room","SEMBAWANG","M223","Sembawang","EastCrown @ Canberra",2022,"26 Mar 2014",2017,264,103.8318826,1.444703,"MOP",264,353927.484146835
"370","3-Room","SEMBAWANG","M224","Sembawang","EastCreek @ Canberra",2024,"24 May 2016",2019,116,103.8304504,1.451342,"MOP",116,353927.484146835
"371","3-Room","SEMBAWANG","M225","Sembawang","EastLace @ Canberra",2022,"26 Mar 2014",2017,140,103.8291887,1.4465795,"MOP",140,353927.484146835
"372","3-Room","SEMBAWANG","M226","Sembawang","EastLink II @ Canberra",2024,"27 May 2015",2019,116,103.8302401,1.4452047,"MOP",116,353927.484146835
"373","3-Room","SEMBAWANG","M227","Sembawang","Canberra Vista",2029,"11 Feb 2020",2024,124,103.8293357,1.4399446,"MOP",124,353927.484146835
"374","3-Room","SEMBAWANG","M228","Sembawang","EastLink I @ Canberra",2024,"27 May 2015",2019,139,103.8302401,1.4452047,"MOP",139,353927.484146835
"375","3-Room","SENGKANG","M229","Sengkang","Fernvale Dew",2027,"22 May 2018",2022,218,103.8701991,1.3898356,"MOP",218,361305.963738824
"376","3-Room","SENGKANG","M230","Sengkang","Fernvale Lea",2020,"12 Jan 2012",2015,100,103.8780162,1.3959613,"MOP",100,361305.963738824
"377","3-Room","SENGKANG","M231","Sengkang","Anchorvale Village",2027,"14 Nov 2017",2022,103,103.888033,1.3965247,"MOP",103,361305.963738824
"378","3-Room","SENGKANG","M232","Sengkang","Compassvale Cape",2021,"21 Mar 2013",2016,196,103.8958944,1.3983812,"MOP",196,361305.963738824
"379","3-Room","SENGKANG","M233","Sengkang","Fernvale Rivergrove",2020,"22 Sep 2011",2015,484,103.8805131,1.3966499,"MOP",484,361305.963738824
"380","3-Room","SENGKANG","M234","Sengkang","Fernvale Riverwalk",2022,"30 Jul 2013",2017,205,103.8803066,1.3914157,"MOP",205,361305.963738824
"381","3-Room","SENGKANG","M235","Sengkang","Rivervale Shores",2027,"01 Aug 2017",2022,174,103.9098991,1.38712,"MOP",174,361305.963738824
"383","3-Room","SENGKANG","M236","Sengkang","Compassvale Mast",2021,"21 Nov 2012",2016,104,103.8941708,1.3904738,"MOP",104,361305.963738824
"384","3-Room","SENGKANG","M237","Sengkang","Rivervale Delta",2021,"21 Nov 2012",2016,102,103.9087122,1.3899685,"MOP",102,361305.963738824
"385","3-Room","SENGKANG","M238","Sengkang","Anchorvale Fields",2023,"25 Nov 2014",2018,63,103.9018617,1.3855816,"MOP",63,361305.963738824
"387","3-Room","SENGKANG","M239","Sengkang","Fernvale Glades",2026,"14 Nov 2017",2021,104,103.8707038,1.3949256,"MOP",104,361305.963738824
"389","3-Room","SENGKANG","M240","Sengkang","Fernvale Woods",2024,"17 Nov 2015",2019,135,103.8709559,1.3913936,"MOP",135,361305.963738824
"390","3-Room","SENGKANG","M241","Sengkang","Fernvale Vines",2028,"12 Feb 2019",2023,92,103.8766905,1.3983676,"MOP",92,361305.963738824
"391","3-Room","SENGKANG","M242","Sengkang","Anchorvale Plains",2025,"24 Feb 2016",2020,96,103.8851063,1.3929584,"MOP",96,361305.963738824
"394","3-Room","TAMPINES","M243","Tampines","Tampines GreenVerge",2026,"17 Aug 2016",2021,244,103.940028,1.3618271,"MOP",244,329702.426580362
"395","3-Room","TAMPINES","M244","Tampines","Tampines GreenCrest",2028,"12 Aug 2020",2023,88,103.9406903,1.3534975,"MOP",88,329702.426580362
"396","3-Room","TAMPINES","M245","Tampines","Tampines GreenGem",2028,"13 Nov 2018",2023,104,103.9356845,1.3435212,"MOP",104,329702.426580362
"401","3-Room","TAMPINES","M246","Tampines","Tampines GreenEdge",2022,"25 Nov 2014",2017,154,103.9554444,1.3631229,"MOP",154,329702.426580362
"403","3-Room","TAMPINES","M247","Tampines","Tampines GreenWeave",2024,"27 May 2015",2019,80,103.9406903,1.3534975,"MOP",80,329702.426580362
"404","3-Room","TAMPINES","M248","Tampines","Tampines GreenForest",2021,"29 Jan 2013",2016,160,103.9291523,1.3508857,"MOP",160,329702.426580362
"405","3-Room","TAMPINES","M249","Tampines","Tampines GreenRidges",2024,"25 Nov 2014",2019,454,103.9370231,1.3605525,"MOP",454,329702.426580362
"407","3-Room","TAMPINES","M250","Tampines","Tampines GreenSpring",2028,"12 Nov 2019",2023,90,103.9405828,1.3546125,"MOP",90,329702.426580362
"408","3-Room","TAMPINES","M251","Tampines","Tampines GreenDew",2026,"06 Feb 2018",2021,84,103.9393898,1.3672436,"MOP",84,329702.426580362
"409","3-Room","TAMPINES","M252","Tampines","Tampines GreenOpal",2030,"12 Aug 2020",2025,94,103.9406903,1.3534975,"MOP",94,329702.426580362
"410","3-Room","TAMPINES","M253","Tampines","Tampines GreenView",2024,"17 Aug 2016",2019,112,103.9346505,1.3653478,"MOP",112,329702.426580362
"411","3-Room","TAMPINES","M254","Tampines","Tampines GreenVines",2027,"22 May 2018",2022,98,103.9447821,1.3655031,"MOP",98,329702.426580362
"412","3-Room","TAMPINES","M255","Tampines","Tampines GreenCourt",2027,"14 Nov 2017",2022,186,103.9418589,1.363855,"MOP",186,329702.426580362
"413","3-Room","TENGAH","M256","Tengah","Garden Vines @ Tengah",2028,"12 Nov 2019",2023,90,103.7317692,1.3611945,"MOP",90,386331.48915
"414","3-Room","TENGAH","M257","Tengah","Garden Vale @ Tengah",2028,"22 May 2019",2023,91,103.7333249,1.3598323,"MOP",91,386331.48915
"415","3-Room","TENGAH","M258","Tengah","Plantation Village",2028,"12 Nov 2019",2023,112,103.7340544,1.3585237,"MOP",112,386331.48915
"416","3-Room","TENGAH","M259","Tengah","Plantation Acres",2027,"22 May 2019",2022,104,103.7308145,1.3555189,"MOP",104,386331.48915
"417","3-Room","TENGAH","M260","Tengah","Plantation Grove",2028,"13 Nov 2018",2023,119,103.7308145,1.3555189,"MOP",119,386331.48915
"418","3-Room","TENGAH","M261","Tengah","Parc Residences @ Tengah",2030,"12 Aug 2020",2025,99,103.7308145,1.3555189,"MOP",99,386331.48915
"419","3-Room","TENGAH","M262","Tengah","Plantation Grange",2027,"12 Nov 2019",2022,91,103.7308252,1.3554331,"MOP",91,386331.48915
"420","3-Room","TOA PAYOH","M263","Toa Payoh","Joo Seng Green",2021,"21 Nov 2012",2016,102,103.8797696,1.3340626,"MOP",102,287888.680997011
"421","3-Room","TOA PAYOH","M264","Toa Payoh","Toa Payoh Ridge",2030,"11 Feb 2020",2025,102,103.8433925,1.3390926,"MOP",102,287888.680997011
"422","3-Room","TOA PAYOH","M265","Toa Payoh","Kim Keat Beacon",2027,"22 May 2018",2022,101,103.85906,1.3321091,"MOP",101,287888.680997011
"424","3-Room","TOA PAYOH","M266","Toa Payoh","Toa Payoh Crest",2022,"21 Nov 2012",2017,311,103.8432735,1.338039,"MOP",311,287888.680997011
"425","3-Room","TOA PAYOH","M267","Toa Payoh","Toa Payoh Apex",2023,"19 Jul 2014",2018,138,103.8551512,1.3337813,"MOP",138,287888.680997011
"427","3-Room","WOODLANDS","M268","Woodlands","Woodlands Glen",2022,"22 Jan 2014",2017,180,103.7987432,1.4310337,"MOP",180,285091.686020432
"428","3-Room","WOODLANDS","M269","Woodlands","Marsiling Greenview",2023,"22 May 2014",2018,194,103.7765789,1.4351462,"MOP",194,285091.686020432
"431","3-Room","WOODLANDS","M270","Woodlands","Woodlands Pasture I & II",2022,"30 May 2013",2017,156,103.8047285,1.4465516,"MOP",156,285091.686020432
"432","3-Room","WOODLANDS","M271","Woodlands","Woodlands Peak",2020,"27 May 2011",2015,95,103.7750909,1.431815,"MOP",95,285091.686020432
"435","3-Room","WOODLANDS","M272","Woodlands","Woodlands Spring",2025,"18 May 2017",2020,72,103.799673,1.438299,"MOP",72,285091.686020432
"437","3-Room","WOODLANDS","M273","Woodlands","UrbanVille @ Woodlands",2031,"12 Aug 2020",2026,144,103.7889597,1.4381922,"MOP",144,285091.686020432
"438","3-Room","WOODLANDS","M274","Woodlands","Woodlands Glade",2026,"06 Feb 2018",2021,90,103.8023954,1.4495841,"MOP",90,285091.686020432
"439","3-Room","WOODLANDS","M275","Woodlands","Admiralty Grove",2022,"26 Nov 2013",2017,240,103.8037955,1.4379932,"MOP",240,285091.686020432
"440","3-Room","WOODLANDS","M276","Woodlands","Champions Green",2028,"22 May 2019",2023,88,103.790016,1.4272453,"MOP",88,285091.686020432
"441","3-Room","WOODLANDS","M277","Woodlands","Marsiling Grove",2027,"18 May 2017",2022,87,103.7745925,1.4367209,"MOP",87,285091.686020432
"442","3-Room","YISHUN","M278","Yishun","Melody Spring @ Yishun 2",2025,"13 Nov 2018",2020,96,103.8540588,1.4266597,"MOP",96,292626.088303439
"443","3-Room","YISHUN","M279","Yishun","Vine Grove @ Yishun",2021,"30 Jul 2013",2016,192,103.8413116,1.4188334,"MOP",192,292626.088303439
"444","3-Room","YISHUN","M280","Yishun","Fern Grove @ Yishun",2022,"26 Mar 2014",2017,251,103.8420054,1.4205609,"MOP",251,292626.088303439
"446","3-Room","YISHUN","M281","Yishun","Khatib Court",2022,"26 Sep 2013",2017,167,103.8328343,1.4182878,"MOP",167,292626.088303439
"447","3-Room","YISHUN","M282","Yishun","Yishun Glen",2027,"28 Aug 2018",2022,168,103.846063,1.4301457,"MOP",168,292626.088303439
"448","3-Room","YISHUN","M283","Yishun","Meadow Spring @ Yishun",2023,"25 Nov 2014",2018,77,103.8524679,1.4249349,"MOP",77,292626.088303439
"450","3-Room","YISHUN","M284","Yishun","Palm Breeze @ Yishun",2021,"26 Sep 2013",2016,96,103.8400963,1.4165297,"MOP",96,292626.088303439
"452","3-Room","YISHUN","M285","Yishun","Angsana Breeze @ Yishun",2022,"30 Jul 2013",2017,186,103.8393106,1.4142876,"MOP",186,292626.088303439
"453","3-Room","YISHUN","M286","Yishun","Blossom Spring @ Yishun",2023,"25 Nov 2014",2018,130,103.8502523,1.4272274,"MOP",130,292626.088303439
"454","3-Room","YISHUN","M287","Yishun","Acacia Breeze",2020,"24 Nov 2011",2015,108,103.843994,1.4193772,"MOP",108,292626.088303439
"455","3-Room","YISHUN","M288","Yishun","Saraca Breeze @ Yishun",2022,"26 Sep 2013",2017,96,103.8443098,1.4158811,"MOP",96,292626.088303439
"456","3-Room","YISHUN","M289","Yishun","Valley Spring @ Yishun",2025,"17 Aug 2016",2020,100,103.8513727,1.4288169,"MOP",100,292626.088303439
"457","3-Room","YISHUN","M290","Yishun","Forest Spring @ Yishun",2026,"18 May 2017",2021,85,103.8524002,1.4258525,"MOP",85,292626.088303439
"458","3-Room","YISHUN","M291","Yishun","Oleander Breeze @ Yishun",2021,"29 Jan 2013",2016,160,103.841643,1.4155753,"MOP",160,292626.088303439
"459","4-Room","ANG MO KIO","M292","Ang Mo Kio","Ang Mo Kio Court",2025,"24 May 2016",2020,234,103.840314,1.3682685,"MOP",234,459588.076087302
"460","4-Room","ANG MO KIO","M293","Ang Mo Kio","Cheng San Court",2023,"27 Sep 2012",2018,363,103.8536139,1.3712675,"MOP",363,459588.076087302
"461","4-Room","ANG MO KIO","M294","Ang Mo Kio","Kebun Baru Edge",2030,"12 Aug 2020",2025,240,103.8345568,1.3703801,"MOP",240,459588.076087302
"462","4-Room","ANG MO KIO","M295","Ang Mo Kio","Yio Chu Kang Beacon",2028,"12 Nov 2019",2023,235,103.8418911,1.3833851,"MOP",235,459588.076087302
"463","4-Room","ANG MO KIO","M296","Ang Mo Kio","Teck Ghee Parkview",2022,"27 Sep 2012",2017,256,103.8572746,1.3685704,"MOP",256,459588.076087302
"464","4-Room","ANG MO KIO","M297","Ang Mo Kio","Kebun Baru Court",2022,"29 Jan 2013",2017,180,103.8344757,1.3688977,"MOP",180,459588.076087302
"466","4-Room","BEDOK","M298","Bedok","Bedok South Horizon",2026,"22 Nov 2016",2021,457,103.947097,1.3181586,"MOP",457,439288.46655279
"467","4-Room","BEDOK","M299","Bedok","Bedok Beacon",2026,"22 Nov 2016",2021,300,103.9277272,1.3240545,"MOP",300,439288.46655279
"468","4-Room","BEDOK","M300","Bedok","Fengshan GreenVille",2023,"21 Nov 2012",2018,570,103.9413278,1.3316628,"MOP",570,439288.46655279
"469","4-Room","BEDOK","M301","Bedok","Ping Yi Greens",2020,"28 Mar 2012",2015,236,103.9232223,1.3275598,"MOP",236,439288.46655279
"470","4-Room","BEDOK","M302","Bedok","Bedok North Woods",2025,"24 May 2016",2020,247,103.9328077,1.3294743,"MOP",247,439288.46655279
"471","4-Room","BIDADARI","M303","Bidadari","Woodleigh Hillside",2027,"18 May 2017",2022,680,103.875035,1.3425497,"MOP",680,604054.33025
"472","4-Room","BIDADARI","M304","Bidadari","Woodleigh Village",2026,"22 Nov 2016",2021,159,103.8707373,1.3391274,"MOP",159,604054.33025
"473","4-Room","BIDADARI","M305","Bidadari","Woodleigh Glen",2026,"22 Nov 2016",2021,428,103.8716317,1.3407875,"MOP",428,604054.33025
"474","4-Room","BIDADARI","M306","Bidadari","Alkaff CourtView",2025,"17 Nov 2015",2020,697,103.8718446,1.3365945,"MOP",697,604054.33025
"475","4-Room","BIDADARI","M307","Bidadari","Alkaff Vista",2024,"17 Nov 2015",2019,199,103.8714553,1.3339626,"MOP",199,604054.33025
"476","4-Room","BIDADARI","M308","Bidadari","Alkaff LakeView",2024,"17 Nov 2015",2019,333,103.8722204,1.3363156,"MOP",333,604054.33025
"477","4-Room","BIDADARI","M309","Bidadari","Alkaff Oasis",2025,"24 Feb 2016",2020,800,103.8727282,1.3346028,"MOP",800,604054.33025
"478","4-Room","BISHAN","M310","Bishan","Bishan Towers",2030,"12 Aug 2020",2025,272,103.8435261,1.3573749,"MOP",272,491030.486338089
"479","4-Room","BUKIT BATOK","M311","Bukit Batok","West Scape",2026,"01 Aug 2017",2021,340,103.742288,1.3620166,"MOP",340,419209.645124418
"481","4-Room","BUKIT BATOK","M312","Bukit Batok","West Valley @ Bukit Batok",2023,"22 May 2014",2018,418,103.7411051,1.3520013,"MOP",418,419209.645124418
"482","4-Room","BUKIT BATOK","M313","Bukit Batok","West Ridges @ Bukit Batok",2023,"26 Nov 2013",2018,591,103.7385589,1.3558015,"MOP",591,419209.645124418
"483","4-Room","BUKIT BATOK","M314","Bukit Batok","West Edge @ Bukit Batok",2024,"11 Feb 2015",2019,646,103.7399914,1.3590445,"MOP",646,419209.645124418
"484","4-Room","BUKIT BATOK","M315","Bukit Batok","Skyline I @ Bukit Batok",2021,"28 Mar 2012",2016,216,103.7454697,1.344939,"MOP",216,419209.645124418
"485","4-Room","BUKIT BATOK","M316","Bukit Batok","Skyline II @ Bukit Batok",2022,"28 Mar 2012",2017,301,103.7480459,1.3437583,"MOP",301,419209.645124418
"486","4-Room","BUKIT BATOK","M317","Bukit Batok","West Quarry @ Bukit Batok",2024,"17 Nov 2015",2019,220,103.7393258,1.3542492,"MOP",220,419209.645124418
"487","4-Room","BUKIT BATOK","M318","Bukit Batok","SkyPeak @ Bukit Batok",2022,"21 Mar 2013",2017,790,103.7546414,1.3447804,"MOP",790,419209.645124418
"488","4-Room","BUKIT BATOK","M319","Bukit Batok","West Terra & Bukit Batok",2023,"24 Sep 2014",2018,616,103.7420189,1.3522808,"MOP",616,419209.645124418
"489","4-Room","BUKIT BATOK","M320","Bukit Batok","West Crest @ Bukit Batok",2022,"22 May 2014",2017,206,103.739209,1.3509816,"MOP",206,419209.645124418
"490","4-Room","BUKIT BATOK","M321","Bukit Batok","West Rock @ Bukit Batok",2023,"11 Feb 2015",2018,218,103.7402898,1.355182,"MOP",218,419209.645124418
"491","4-Room","BUKIT BATOK","M322","Bukit Batok","West Plains @ Bukit Batok",2025,"24 Feb 2016",2020,410,103.7422631,1.3580589,"MOP",410,419209.645124418
"493","4-Room","BUKIT MERAH","M323","Bukit Merah","Depot Heights",2021,"31 Jul 2012",2016,176,103.8092881,1.2810873,"MOP",176,570122.515504011
"494","4-Room","BUKIT MERAH","M324","Bukit Merah","Telok Blangah ParcView",2022,"30 Jul 2013",2017,922,103.8075668,1.2762338,"MOP",922,570122.515504011
"495","4-Room","BUKIT MERAH","M325","Bukit Merah","Telok Blangah Ridgeview",2021,"31 Jul 2012",2016,396,103.8108498,1.2762179,"MOP",396,570122.515504011
"496","4-Room","BUKIT PANJANG","M326","Bukit Panjang","Senja Valley",2026,"24 May 2016",2021,205,103.7634149,1.3885828,"MOP",205,433275.795295303
"497","4-Room","BUKIT PANJANG","M327","Bukit Panjang","Senja Ridges",2026,"24 May 2016",2021,106,103.761881,1.380845,"MOP",106,433275.795295303
"498","4-Room","BUKIT PANJANG","M328","Bukit Panjang","Fajar Hills",2020,"28 Mar 2012",2015,392,103.7708612,1.3810669,"MOP",392,433275.795295303
"499","4-Room","BUKIT PANJANG","M329","Bukit Panjang","Senja Heights",2026,"24 May 2016",2021,214,103.761581,1.381349,"MOP",214,433275.795295303
"501","4-Room","CHOA CHU KANG","M330","Choa Chu Kang","Sunshine Gardens",2020,"12 Jan 2012",2015,788,103.7402665,1.3763898,"MOP",788,404308.33405515
"503","4-Room","CHOA CHU KANG","M331","Choa Chu Kang","Keat Hong Pride",2021,"30 May 2012",2016,656,103.7423207,1.3729806,"MOP",656,404308.33405515
"504","4-Room","CHOA CHU KANG","M332","Choa Chu Kang","Keat Hong Axis",2021,"31 Jul 2012",2016,520,103.7448487,1.375306,"MOP",520,404308.33405515
"505","4-Room","CHOA CHU KANG","M333","Choa Chu Kang","Keat Hong Quad",2021,"27 Sep 2012",2016,334,103.7465288,1.376422,"MOP",334,404308.33405515
"506","4-Room","CHOA CHU KANG","M334","Choa Chu Kang","Keat Hong Verge",2028,"12 Aug 2020",2023,290,103.7456835,1.3850933,"MOP",290,404308.33405515
"507","4-Room","CHOA CHU KANG","M335","Choa Chu Kang","Keat Hong Colours",2021,"29 Jan 2013",2016,484,103.7460476,1.3734679,"MOP",484,404308.33405515
"508","4-Room","CHOA CHU KANG","M336","Choa Chu Kang","Keat Kong Mirage",2021,"21 Nov 2012",2016,559,103.749297,1.3766345,"MOP",559,404308.33405515
"509","4-Room","CHOA CHU KANG","M337","Choa Chu Kang","Keat Hong Crest",2022,"30 May 2013",2017,328,103.7433614,1.3744888,"MOP",328,404308.33405515
"510","4-Room","CHOA CHU KANG","M338","Choa Chu Kang","Teck Whye View",2027,"06 Feb 2018",2022,238,103.7585205,1.3799105,"MOP",238,404308.33405515
"511","4-Room","CLEMENTI","M339","Clementi","Clementi Peaks",2027,"14 Feb 2017",2022,237,103.7680058,1.3107835,"MOP",237,473891.538871453
"512","4-Room","CLEMENTI","M340","Clementi","Clementi Gateway",2021,"31 Jul 2012",2016,144,103.7624548,1.3224914,"MOP",144,473891.538871453
"513","4-Room","CLEMENTI","M341","Clementi","Clementi NorthArc",2027,"14 Feb 2017",2022,529,103.7621079,1.323519,"MOP",529,473891.538871453
"514","4-Room","CLEMENTI","M342","Clementi","Clementi Ridges",2021,"28 Mar 2012",2016,312,103.7645932,1.3195866,"MOP",312,473891.538871453
"515","4-Room","CLEMENTI","M343","Clementi","Clementi Crest",2025,"27 May 2015",2020,229,103.7639162,1.3133352,"MOP",229,473891.538871453
"518","4-Room","GEYLANG","M344","Geylang","Ubi Grove",2027,"06 Feb 2018",2022,993,103.8992134,1.3267949,"MOP",993,449794.42086563
"519","4-Room","GEYLANG","M345","Geylang","Dakota Breeze",2026,"18 May 2017",2021,671,103.8890051,1.3093954,"MOP",671,449794.42086563
"520","4-Room","GEYLANG","M346","Geylang","MacPherson Residency",2020,"28 Mar 2012",2015,426,103.8886982,1.3294,"MOP",426,449794.42086563
"521","4-Room","GEYLANG","M347","Geylang","Dakota One",2030,"12 Aug 2020",2025,334,103.8871123,1.3201362,"MOP",334,449794.42086563
"522","4-Room","GEYLANG","M348","Geylang","Eunos Court",2027,"14 Nov 2017",2022,538,103.901417,1.3205992,"MOP",538,449794.42086563
"523","4-Room","GEYLANG","M349","Geylang","MacPherson Spring",2024,"11 Feb 2015",2019,378,103.8894844,1.3241946,"MOP",378,449794.42086563
