"","flat_type","town","ID","Town/Name","Project Name","End of MOP","Launch Date","Year Completed","Total Units","lon","lat","Type","num_of_units","price1"
"84","2-Room","JURONG WEST","M40","Jurong West","Yung Ho Spring II",2023,"24 Sep 2014",2018,171,103.722392,1.3267143,"MOP",171,245892.123048077
"85","2-Room","JURONG WEST","M41","Jurong West","Yung Ho Spring I",2023,"24 Sep 2014",2018,240,103.7233696,1.3268606,"MOP",240,245892.123048077
"88","2-Room","KALLANG/WHAMPOA","M42","Kallang/Whampoa","Kempas Residences",2029,"22 May 2019",2024,150,103.8593269,1.3172849,"MOP",150,232398.397295238
"96","2-Room","PASIR RIS","M43","Pasir Ris","Costa Grove",2030,"12 Aug 2020",2025,212,103.9472922,1.3773575,"MOP",212,265542.26995
"100","2-Room","PUNGGOL","M44","Punggol","Punggol Vue",2022,"22 Jan 2014",2017,304,103.8989687,1.4125294,"MOP",304,265107.128814286
"101","2-Room","PUNGGOL","M45","Punggol","Punggol Point Crown",2028,"11 Sep 2019",2023,716,103.9110284,1.4193302,"MOP",716,265107.128814286
"103","2-Room","PUNGGOL","M46","Punggol","Northshore Cove",2026,"14 Feb 2017",2021,310,103.9062482,1.4199116,"MOP",310,265107.128814286
"104","2-Room","PUNGGOL","M47","Punggol","Waterfront II @ Northshore",2025,"17 Nov 2015",2020,212,103.9017599,1.4184607,"MOP",212,265107.128814286
"109","2-Room","PUNGGOL","M48","Punggol","Northshore StraitsView",2025,"17 Nov 2015",2020,469,103.9022587,1.4160392,"MOP",469,265107.128814286
"111","2-Room","PUNGGOL","M49","Punggol","Waterway Sunray",2022,"19 Jul 2014",2017,104,103.9188218,1.4006575,"MOP",104,265107.128814286
"113","2-Room","PUNGGOL","M50","Punggol","Northshore Trio",2026,"22 Nov 2016",2021,198,103.9022587,1.4160392,"MOP",198,265107.128814286
"116","2-Room","PUNGGOL","M51","Punggol","Punggol Point Woods",2028,"28 Aug 2018",2023,387,103.9107426,1.4171146,"MOP",387,265107.128814286
"117","2-Room","PUNGGOL","M52","Punggol","Waterway Sunrise II",2026,"14 Feb 2017",2021,403,103.9199535,1.399918,"MOP",403,265107.128814286
"119","2-Room","PUNGGOL","M53","Punggol","Punggol Point Cove",2028,"28 Aug 2018",2023,504,103.9110284,1.4193302,"MOP",504,265107.128814286
"121","2-Room","PUNGGOL","M54","Punggol","Matilda Edge",2022,"26 Sep 2013",2017,192,103.8947345,1.4019567,"MOP",192,265107.128814286
"122","2-Room","PUNGGOL","M55","Punggol","Punggol Point Cove",2029,"11 Sep 2019",2024,544,103.9110284,1.4193302,"MOP",544,265107.128814286
"123","2-Room","PUNGGOL","M56","Punggol","Northshore Residences II",2025,"27 May 2015",2020,338,103.9016318,1.4162076,"MOP",338,265107.128814286
"124","2-Room","PUNGGOL","M57","Punggol","Punggol Opal",2020,"31 Jul 2012",2015,128,103.8954588,1.4055689,"MOP",128,265107.128814286
"125","2-Room","PUNGGOL","M58","Punggol","Waterway Sunrise I",2026,"22 Nov 2016",2021,671,103.9199535,1.399918,"MOP",671,265107.128814286
"128","2-Room","PUNGGOL","M59","Punggol","Waterfront I @ Northshore",2025,"17 Nov 2015",2020,150,103.9022587,1.4160392,"MOP",150,265107.128814286
"129","2-Room","PUNGGOL","M60","Punggol","Northshore Residences I",2025,"27 May 2015",2020,208,103.9016318,1.4162076,"MOP",208,265107.128814286
"130","2-Room","PUNGGOL","M61","Punggol","Matilda Court",2022,"19 Jul 2014",2017,320,103.8909577,1.4023353,"MOP",320,265107.128814286
"133","2-Room","SEMBAWANG","M62","Sembawang","EastLace @ Canberra",2022,"26 Mar 2014",2017,140,103.8291887,1.4465795,"MOP",140,251805.807412281
"134","2-Room","SEMBAWANG","M63","Sembawang","EastCreek @ Canberra",2024,"24 May 2016",2019,610,103.8304504,1.451342,"MOP",610,251805.807412281
"135","2-Room","SEMBAWANG","M64","Sembawang","EastLink II @ Canberra",2024,"27 May 2015",2019,174,103.8302401,1.4452047,"MOP",174,251805.807412281
"138","2-Room","SEMBAWANG","M65","Sembawang","Sun Natura",2023,"19 Jul 2014",2018,330,103.813649,1.4468175,"MOP",330,251805.807412281
"140","2-Room","SEMBAWANG","M66","Sembawang","Sun Breeze",2023,"25 Nov 2014",2018,278,103.8171695,1.4439364,"MOP",278,251805.807412281
