"","Room","Price","Region"
"400","4-Room",435000,"North-East"
"401","5-Room",720000,"North-East"
"402","5-Room",450000,"East"
"403","5-Room",750000,"North-East"
"404","5-Room",850000,"Central"
"405","4-Room",508000,"North-East"
"406","4-Room",450000,"West"
"407","HDB Executive",598888,"East"
"408","3-Room",390000,"East"
"409","5-Room",535000,"North-East"
"410","5-Room",450000,"North"
"411","4-Room",390000,"East"
"412","5-Room",598000,"West"
"414","3-Room",520000,"Central"
"415","4-Room",935000,"Central"
"416","5-Room",618000,"West"
"417","5-Room",9e+05,"North-East"
"418","4-Room",799000,"Central"
"419","4-Room",825000,"Central"
"420","5-Room",829000,"Central"
"421","4-Room",695000,"East"
"422","3-Room",390000,"West"
"423","4-Room",420000,"East"
"424","5-Room",820000,"West"
"425","HDB Executive",788888,"East"
"426","HDB Executive",828000,"West"
"427","5-Room",768000,"East"
"428","HDB Executive",728000,"East"
"429","4-Room",550000,"East"
"430","5-Room",498000,"East"
"431","HDB Executive",630000,"North-East"
"432","5-Room",6e+05,"North-East"
"433","4-Room",420000,"West"
"434","4-Room",395000,"East"
"435","4-Room",4e+05,"North-East"
"436","3-Room",460000,"East"
"437","5-Room",608000,"East"
"438","4-Room",450000,"North-East"
"439","5-Room",630000,"East"
"440","5-Room",849000,"Central"
"441","4-Room",495000,"East"
"442","5-Room",475000,"North-East"
"443","5-Room",646000,"North-East"
"444","5-Room",579999,"North-East"
"445","4-Room",460000,"North-East"
"446","4-Room",7e+05,"Central"
"447","3-Room",338000,"East"
"448","4-Room",618000,"North-East"
"449","3-Room",728000,"Central"
"450","5-Room",470000,"North-East"
"451","4-Room",799999,"Central"
"452","4-Room",728000,"Central"
"453","5-Room",660000,"North-East"
"454","5-Room",9e+05,"Central"
"455","5-Room",630000,"West"
"456","5-Room",525000,"Central"
"457","HDB Executive",813000,"West"
"458","HDB Executive",930000,"North-East"
"459","5-Room",665000,"North-East"
"460","4-Room",768000,"West"
"461","4-Room",690000,"Central"
"462","3-Room",419000,"North-East"
"463","4-Room",825000,"Central"
"464","4-Room",9e+05,"Central"
"465","5-Room",5e+05,"North-East"
"466","4-Room",695000,"East"
"467","4-Room",788000,"Central"
"468","4-Room",750000,"Central"
"469","4-Room",490000,"West"
"470","HDB Executive",660000,"North-East"
"471","4-Room",580000,"North-East"
"472","3-Room",345000,"Central"
"473","Multi-Gen/Jumbo",858000,"East"
"474","4-Room",468000,"North-East"
"475","4-Room",785000,"Central"
"476","HDB Executive",1080000,"North-East"
"477","4-Room",489000,"Central"
"478","5-Room",560000,"Central"
"479","5-Room",860000,"Central"
"480","HDB Executive",850000,"Central"
"481","4-Room",548888,"North-East"
"482","4-Room",6e+05,"East"
"483","4-Room",490000,"North-East"
"484","4-Room",580000,"Central"
"485","4-Room",380000,"West"
"486","HDB Executive",799000,"North-East"
"487","4-Room",7e+05,"Central"
"488","5-Room",565000,"East"
"489","3-Room",330000,"East"
"490","HDB Executive",560000,"West"
"491","5-Room",429178,"West"
"493","4-Room",540000,"North-East"
"494","4-Room",460000,"North-East"
"495","5-Room",739999,"East"
"496","5-Room",588000,"East"
"498","4-Room",750000,"West"
"499","3-Room",3e+05,"East"
"500","HDB Executive",950000,"North-East"
"501","5-Room",425000,"North-East"
"502","4-Room",4e+05,"Central"
"503","4-Room",485000,"West"
"504","4-Room",850000,"Central"
"506","4-Room",875000,"Central"
"507","5-Room",528000,"North-East"
"508","5-Room",530000,"North-East"
"509","5-Room",815000,"East"
"510","4-Room",880000,"North"
"511","4-Room",498000,"North-East"
"512","4-Room",570000,"North-East"
"513","Multi-Gen/Jumbo",750000,"North"
"514","4-Room",660000,"Central"
"515","4-Room",538000,"North-East"
"516","4-Room",838000,"Central"
"517","4-Room",518000,"North-East"
"518","5-Room",565000,"North-East"
"519","4-Room",650000,"East"
"520","5-Room",569000,"East"
"521","HDB Executive",740000,"West"
"522","HDB Executive",598888,"East"
"523","4-Room",723000,"East"
"524","4-Room",440000,"North-East"
"525","3-Room",210000,"Central"
"526","4-Room",998888,"Central"
"527","3-Room",488000,"North-East"
"528","5-Room",450000,"West"
"529","4-Room",799000,"Central"
"530","4-Room",450000,"North-East"
"531","3-Room",290000,"East"
"532","5-Room",618000,"West"
"533","5-Room",545000,"Central"
"534","4-Room",440000,"North-East"
"535","5-Room",520000,"West"
"536","4-Room",630000,"East"
"537","4-Room",873000,"Central"
"538","5-Room",439888,"North-East"
"539","4-Room",398000,"West"
"540","3-Room",3e+05,"Central"
"541","4-Room",652000,"Central"
"542","3-Room",350000,"East"
"543","3-Room",450000,"Central"
"544","5-Room",555000,"North-East"
"545","5-Room",8e+05,"Central"
"546","4-Room",520000,"North-East"
"547","4-Room",399999,"North-East"
"548","4-Room",558000,"North-East"
"549","HDB Executive",668000,"West"
"550","3-Room",260000,"Central"
"551","5-Room",5e+05,"North-East"
"552","3-Room",315000,"East"
"553","5-Room",550000,"East"
"554","5-Room",888000,"Central"
"555","3-Room",368000,"North-East"
"557","5-Room",560000,"North-East"
"558","5-Room",850000,"Central"
"559","3-Room",550000,"North-East"
"560","5-Room",788000,"Central"
"561","3-Room",320000,"North-East"
"562","3-Room",718000,"Central"
"563","HDB Executive",580000,"North"
"564","5-Room",795000,"Central"
"565","HDB Executive",680000,"Central"
"566","5-Room",505000,"West"
"567","4-Room",560000,"North-East"
"568","5-Room",535000,"North-East"
"569","5-Room",650000,"North-East"
"570","3-Room",390888,"Central"
"571","4-Room",570000,"North-East"
"572","5-Room",455000,"West"
"573","4-Room",568000,"North-East"
"574","5-Room",768000,"Central"
"575","4-Room",820000,"West"
"576","4-Room",480000,"North-East"
"577","5-Room",675000,"Central"
"578","4-Room",8e+05,"West"
"579","5-Room",418000,"West"
"580","4-Room",410000,"East"
"581","HDB Executive",1080000,"North-East"
"582","4-Room",899999,"Central"
"583","3-Room",290000,"East"
"584","4-Room",628888,"Central"
"585","3-Room",5e+05,"Central"
"586","5-Room",649000,"North-East"
"587","5-Room",765000,"Central"
"588","4-Room",435000,"East"
"589","4-Room",880000,"Central"
"590","HDB Executive",760000,"East"
"591","5-Room",790000,"Central"
"592","4-Room",535000,"North-East"
"593","3-Room",440000,"Central"
"595","4-Room",560000,"North-East"
"596","4-Room",849000,"Central"
"597","4-Room",728000,"West"
"598","5-Room",560000,"North-East"
"601","3-Room",328000,"Central"
"602","4-Room",750000,"West"
"603","4-Room",475000,"East"
"604","5-Room",438000,"North-East"
"605","4-Room",698000,"East"
"606","3-Room",728000,"Central"
"607","4-Room",510000,"Central"
"608","4-Room",4e+05,"West"
"609","5-Room",479000,"North-East"
"610","4-Room",7e+05,"Central"
"611","3-Room",480000,"East"
"612","5-Room",549000,"North-East"
"614","3-Room",728000,"Central"
"615","HDB Executive",930000,"North-East"
"616","3-Room",299000,"Central"
"617","4-Room",375000,"North-East"
"618","4-Room",395000,"North"
"619","3-Room",330000,"North-East"
"620","5-Room",585000,"North-East"
"621","4-Room",525000,"North-East"
"622","5-Room",650000,"North-East"
"623","5-Room",790000,"East"
"624","HDB Executive",850000,"North-East"
"625","4-Room",810000,"Central"
"626","4-Room",820000,"Central"
"627","3-Room",275000,"Central"
"628","4-Room",425000,"East"
"629","4-Room",370000,"North-East"
"630","4-Room",460000,"North-East"
"631","5-Room",538888,"North-East"
"632","HDB Executive",680000,"North"
"633","3-Room",640000,"Central"
"634","4-Room",438000,"North-East"
"635","4-Room",450000,"West"
"636","5-Room",609000,"North-East"
"637","4-Room",850000,"Central"
"639","5-Room",468000,"West"
"640","4-Room",785000,"Central"
"641","5-Room",565000,"North-East"
"642","3-Room",339999,"Central"
"643","4-Room",420000,"North-East"
"644","4-Room",850000,"Central"
"645","2-Room",9e+05,"Central"
"646","5-Room",720000,"North-East"
"647","5-Room",650000,"East"
"648","5-Room",760000,"Central"
"649","3-Room",340000,"Central"
"650","4-Room",470000,"North-East"
"651","5-Room",1218000,"Central"
"652","3-Room",350000,"Central"
"653","HDB Executive",628000,"East"
"654","5-Room",5e+05,"Central"
"655","4-Room",695000,"East"
"656","5-Room",598000,"East"
"657","4-Room",430000,"North-East"
"658","HDB Executive",620000,"North-East"
"659","4-Room",480000,"North-East"
"660","5-Room",5e+05,"North"
"661","5-Room",630000,"West"
"662","4-Room",425000,"East"
"663","5-Room",580000,"East"
"665","HDB Executive",850000,"East"
"666","3-Room",380000,"North-East"
"667","5-Room",660000,"North-East"
"668","4-Room",538000,"North-East"
"669","4-Room",785000,"Central"
"670","3-Room",340000,"Central"
"671","3-Room",338000,"West"
"672","3-Room",240000,"Central"
"673","5-Room",450000,"West"
"674","HDB Executive",740000,"West"
"675","5-Room",728000,"East"
"676","4-Room",410000,"North-East"
"677","4-Room",738000,"East"
"678","5-Room",699000,"North-East"
"679","5-Room",660000,"East"
"680","5-Room",640000,"North-East"
"681","HDB Executive",950000,"Central"
"682","4-Room",715000,"East"
"683","4-Room",7e+05,"Central"
"684","4-Room",538000,"North-East"
"685","4-Room",728000,"East"
"686","4-Room",438000,"North-East"
"687","5-Room",1080000,"Central"
"688","4-Room",376000,"East"
"689","4-Room",630000,"East"
"690","4-Room",688000,"West"
"691","5-Room",699000,"North-East"
"692","5-Room",838000,"Central"
"693","4-Room",988000,"Central"
"694","4-Room",475000,"East"
"696","5-Room",6e+05,"East"
"697","3-Room",368000,"Central"
"698","5-Room",640000,"North-East"
"699","5-Room",680000,"North-East"
"700","4-Room",678000,"East"
"701","4-Room",450000,"East"
"702","4-Room",399999,"North-East"
"703","2-Room",228000,"West"
"704","4-Room",510000,"North-East"
"705","3-Room",668000,"Central"
"706","5-Room",595000,"North-East"
"707","5-Room",699000,"North-East"
"708","4-Room",695000,"East"
"709","3-Room",365000,"West"
"710","5-Room",450000,"East"
"711","4-Room",849000,"Central"
"712","4-Room",390000,"North-East"
"713","5-Room",868000,"Central"
"714","4-Room",416000,"North-East"
"715","4-Room",678000,"East"
"716","3-Room",250000,"Central"
"717","5-Room",560000,"North-East"
"718","4-Room",650000,"West"
"719","5-Room",535000,"North-East"
"720","4-Room",430000,"North-East"
"721","5-Room",665000,"North-East"
"722","HDB Executive",648000,"West"
"723","HDB Executive",920000,"Central"
"724","5-Room",450000,"North"
"725","5-Room",830000,"Central"
"726","HDB Executive",680000,"East"
"727","3-Room",350000,"Central"
"728","5-Room",418000,"West"
"729","HDB Executive",599000,"West"
"730","Multi-Gen/Jumbo",858000,"East"
"731","4-Room",4e+05,"West"
"732","4-Room",405000,"North-East"
"733","4-Room",465000,"North"
"734","5-Room",590000,"West"
"735","HDB Executive",768000,"East"
"736","4-Room",570000,"North-East"
"738","5-Room",488000,"North-East"
"739","4-Room",575000,"North-East"
"740","3-Room",538000,"Central"
"741","4-Room",540000,"Central"
"742","4-Room",430000,"East"
"743","4-Room",420000,"East"
"744","4-Room",440000,"North-East"
"745","HDB Executive",490000,"North"
"746","HDB Executive",640000,"West"
"747","5-Room",8e+05,"Central"
"748","4-Room",570000,"Central"
"749","5-Room",1068888,"Central"
"750","4-Room",488000,"Central"
"751","4-Room",399000,"East"
"752","5-Room",517000,"North-East"
"753","5-Room",838000,"Central"
"754","4-Room",648000,"Central"
"755","HDB Executive",690000,"North-East"
"756","5-Room",829000,"Central"
"757","HDB Executive",570000,"North"
"758","4-Room",728000,"Central"
"759","3-Room",320000,"West"
"760","HDB Executive",830000,"Central"
"761","Multi-Gen/Jumbo",1080000,"North-East"
"762","HDB Executive",530000,"West"
"763","5-Room",888000,"Central"
"764","3-Room",398000,"Central"
"765","4-Room",625000,"East"
"766","3-Room",338000,"East"
"767","5-Room",630000,"West"
"768","HDB Executive",650000,"West"
"769","5-Room",750000,"Central"
"770","3-Room",350000,"Central"
"772","5-Room",825000,"North-East"
"773","5-Room",688000,"East"
"774","3-Room",408888,"West"
"775","5-Room",460000,"East"
"776","5-Room",550000,"West"
"777","HDB Executive",569000,"North-East"
"778","5-Room",450000,"North-East"
"779","4-Room",460000,"North-East"
"780","5-Room",595000,"North-East"
"781","4-Room",330000,"West"
"782","HDB Executive",648888,"West"
"783","4-Room",638000,"East"
"784","3-Room",335000,"East"
"785","5-Room",649000,"East"
"786","5-Room",628000,"North-East"
"787","4-Room",6e+05,"East"
"788","3-Room",550000,"Central"
"789","5-Room",1108000,"Central"
"790","5-Room",480000,"North"
"791","HDB Executive",738888,"North-East"
"792","5-Room",528000,"North-East"
"793","2-Room",240000,"North-East"
"794","4-Room",688000,"East"
"795","5-Room",575000,"North-East"
"796","4-Room",540000,"Central"
"797","4-Room",430000,"East"
"798","4-Room",1198000,"Central"
"799","4-Room",648000,"Central"
"800","5-Room",950000,"Central"
"801","3-Room",320000,"Central"
"802","5-Room",680000,"North-East"
"803","5-Room",808000,"Central"
"804","5-Room",515000,"North-East"
"805","5-Room",848000,"Central"
"806","2-Room",9e+05,"Central"
"807","5-Room",560000,"North-East"
"808","4-Room",570000,"North-East"
"809","5-Room",920000,"Central"
"810","5-Room",9e+05,"Central"
"811","5-Room",660000,"North-East"
"812","5-Room",928800,"Central"
"813","4-Room",538000,"North-East"
"814","4-Room",650000,"East"
"815","4-Room",785000,"Central"
"816","5-Room",448000,"North"
"817","3-Room",350000,"Central"
"818","4-Room",550000,"North-East"
"819","4-Room",578000,"North-East"
"820","4-Room",620000,"Central"
"821","4-Room",428000,"North-East"
"822","HDB Executive",930000,"North-East"
"823","3-Room",395000,"Central"
"824","HDB Executive",689000,"East"
"825","5-Room",828000,"Central"
"826","3-Room",350000,"West"
"827","HDB Executive",678000,"West"
"828","4-Room",968000,"Central"
"829","5-Room",6e+05,"North-East"
"830","4-Room",649000,"North-East"
"831","5-Room",638000,"North-East"
"832","4-Room",425000,"North-East"
"833","4-Room",578000,"North-East"
"834","4-Room",376000,"East"
"835","4-Room",695000,"East"
"836","5-Room",450000,"East"
"837","5-Room",838000,"Central"
"838","3-Room",478000,"Central"
"839","4-Room",565000,"North-East"
"840","3-Room",385000,"Central"
"841","4-Room",508888,"Central"
"842","5-Room",728000,"East"
"843","4-Room",969969,"Central"
"844","HDB Executive",598888,"East"
"845","3-Room",5e+05,"East"
"846","4-Room",796000,"West"
"847","4-Room",520000,"North-East"
"848","5-Room",668000,"North-East"
"849","5-Room",9e+05,"North-East"
"850","4-Room",550000,"Central"
"851","4-Room",7e+05,"Central"
"852","3-Room",350000,"North"
"853","3-Room",465000,"Central"
"854","5-Room",1099000,"Central"
"855","5-Room",612000,"North-East"
"856","3-Room",268000,"East"
"857","3-Room",320000,"North-East"
"858","3-Room",240000,"Central"
"859","HDB Executive",939000,"North-East"
"860","4-Room",850000,"Central"
"861","5-Room",780000,"North-East"
"862","4-Room",385000,"West"
"863","4-Room",6e+05,"North-East"
"864","4-Room",820000,"Central"
"865","5-Room",575000,"North-East"
"866","5-Room",768000,"East"
"867","3-Room",388000,"Central"
"868","4-Room",538888,"North-East"
