address,flat_type,avg resale price,lon,lat
101 CLEMENTI ST 14 SINGAPORE,5 ROOM,748250,103.7688807,1.322102
101 COMMONWEALTH CRES SINGAPORE,2 ROOM,200000,103.8005706,1.3080645
101 COMMONWEALTH CRES SINGAPORE,3 ROOM,246000,103.8005706,1.3080645
101 GANGSA RD SINGAPORE,EXECUTIVE,611666.6666666666,103.7675227,1.3793935
101 HENDERSON CRES SINGAPORE,4 ROOM,407650,103.8216714,1.2907844
101 HOUGANG AVE 1 SINGAPORE,4 ROOM,378472,103.8914264,1.3552948
101 JLN RAJAH SINGAPORE,4 ROOM,437750,103.850839,1.3288769
101 JURONG EAST ST 13 SINGAPORE,3 ROOM,314588.8,103.7388277,1.3370698
101 PASIR RIS ST 12 SINGAPORE,EXECUTIVE,616642.8571428572,103.9581347,1.3670571
101 POTONG PASIR AVE 1 SINGAPORE,3 ROOM,427708.3333333333,103.8685022,1.3329594
101 RIVERVALE WALK SINGAPORE,4 ROOM,365600,103.899465,1.382678
101 RIVERVALE WALK SINGAPORE,5 ROOM,430177.6,103.899465,1.382678
101 SERANGOON NTH AVE 1 SINGAPORE,4 ROOM,357675.07692307694,103.8702244,1.3710196
101 SIMEI ST 1 SINGAPORE,4 ROOM,456166.6666666667,103.9518794,1.3411804
101 SIMEI ST 1 SINGAPORE,5 ROOM,600000,103.9518794,1.3411804
101 TAMPINES ST 11 SINGAPORE,3 ROOM,301200,103.9452618,1.3474398
101 TAMPINES ST 11 SINGAPORE,4 ROOM,448000,103.9452618,1.3474398
101 TECK WHYE LANE SINGAPORE,EXECUTIVE,544833.3333333334,103.7543963,1.3779314
101 TOWNER RD SINGAPORE,3 ROOM,431760,103.8609838,1.3193077
101 WHAMPOA DR SINGAPORE,4 ROOM,382666.6666666667,103.8538225,1.3205209
101 WOODLANDS ST 13 SINGAPORE,3 ROOM,272968,103.781918,1.4359346
101 WOODLANDS ST 13 SINGAPORE,4 ROOM,328000,103.781918,1.4359346
101 YISHUN AVE 5 SINGAPORE,3 ROOM,240500,103.8275584,1.4312508
101 YISHUN AVE 5 SINGAPORE,4 ROOM,281000,103.8275584,1.4312508
101A LOR 2 TOA PAYOH SINGAPORE,EXECUTIVE,919944,103.8473045,1.3398094
101A PUNGGOL FIELD SINGAPORE,4 ROOM,370000,103.905967,1.3979874
101A PUNGGOL FIELD SINGAPORE,5 ROOM,417222.22222222225,103.905967,1.3979874
101B LOR 2 TOA PAYOH SINGAPORE,EXECUTIVE,901000,103.8476442,1.3393865
101B PUNGGOL FIELD SINGAPORE,5 ROOM,419648,103.906314,1.3977811
101C PUNGGOL FIELD SINGAPORE,5 ROOM,419166.6666666667,103.906593,1.3981809
101D PUNGGOL FIELD SINGAPORE,4 ROOM,371450,103.9061667,1.3985575
101D PUNGGOL FIELD SINGAPORE,5 ROOM,442328.5714285714,103.9061667,1.3985575
102 ALJUNIED CRES SINGAPORE,3 ROOM,296333.3333333333,103.8825867,1.3205361
102 ALJUNIED CRES SINGAPORE,4 ROOM,380000,103.8825867,1.3205361
102 ANG MO KIO AVE 3 SINGAPORE,4 ROOM,466250,103.8392427,1.3706163
102 ANG MO KIO AVE 3 SINGAPORE,5 ROOM,595333.3333333334,103.8392427,1.3706163
102 BEDOK NTH AVE 4 SINGAPORE,3 ROOM,287909.0909090909,103.9374662,1.3338732
102 BEDOK RESERVOIR RD SINGAPORE,3 ROOM,272666.6666666667,103.9092559,1.3285295
102 BEDOK RESERVOIR RD SINGAPORE,4 ROOM,388000,103.9092559,1.3285295
102 BISHAN ST 12 SINGAPORE,5 ROOM,718666.6666666666,103.8479386,1.3451503
102 BT BATOK WEST AVE 6 SINGAPORE,4 ROOM,430600,103.7475197,1.3477138
102 BT BATOK WEST AVE 6 SINGAPORE,5 ROOM,525600,103.7475197,1.3477138
102 BT PURMEI RD SINGAPORE,3 ROOM,375000,103.8267436,1.2720458
102 BT PURMEI RD SINGAPORE,4 ROOM,485000,103.8267436,1.2720458
102 COMMONWEALTH CRES SINGAPORE,3 ROOM,243500,103.8006613,1.3078718
102 COMMONWEALTH CRES SINGAPORE,4 ROOM,530000,103.8006613,1.3078718
102 GANGSA RD SINGAPORE,3 ROOM,286666.6666666667,103.7678849,1.3792448
102 GANGSA RD SINGAPORE,4 ROOM,360000,103.7678849,1.3792448
102 HENDERSON CRES SINGAPORE,4 ROOM,434984,103.8217393,1.2904366
102 HOUGANG AVE 1 SINGAPORE,4 ROOM,393560,103.8907921,1.3548591
102 JLN DUSUN SINGAPORE,5 ROOM,588000,103.8442252,1.327896
102 JLN RAJAH SINGAPORE,4 ROOM,447428.5714285714,103.851563,1.3282172
102 JURONG EAST ST 13 SINGAPORE,3 ROOM,318500,103.7381939,1.3361946
102 LENGKONG TIGA SINGAPORE,4 ROOM,648000,103.910638,1.3256132
102 LENGKONG TIGA SINGAPORE,5 ROOM,813750,103.910638,1.3256132
102 PASIR RIS ST 12 SINGAPORE,4 ROOM,382500,103.9580667,1.367442
102 PASIR RIS ST 12 SINGAPORE,5 ROOM,464000,103.9580667,1.367442
102 POTONG PASIR AVE 1 SINGAPORE,3 ROOM,395666.6666666667,103.8687748,1.3336834
102 POTONG PASIR AVE 1 SINGAPORE,4 ROOM,470000,103.8687748,1.3336834
102 RIVERVALE WALK SINGAPORE,EXECUTIVE,565100,103.9009109,1.381822
102 SERANGOON NTH AVE 1 SINGAPORE,3 ROOM,282629.3333333333,103.8710439,1.3708646
102 SIMEI ST 1 SINGAPORE,4 ROOM,458825.14285714284,103.9514035,1.3412746
102 SIMEI ST 1 SINGAPORE,5 ROOM,547222,103.9514035,1.3412746
102 TAMPINES ST 11 SINGAPORE,3 ROOM,334555.55555555556,103.9458964,1.3467774
102 TAMPINES ST 11 SINGAPORE,4 ROOM,412750,103.9458964,1.3467774
102 TECK WHYE LANE SINGAPORE,4 ROOM,325250,103.7541248,1.3769801
102 TECK WHYE LANE SINGAPORE,5 ROOM,377666.6666666667,103.7541248,1.3769801
102 TOWNER RD SINGAPORE,3 ROOM,438500,103.8620709,1.3206918
102 WOODLANDS ST 13 SINGAPORE,3 ROOM,263400,103.7810126,1.4363072
102 WOODLANDS ST 13 SINGAPORE,4 ROOM,318333.3333333333,103.7810126,1.4363072
