"","Month.of.Launch","Town/Estate","Estimated.Flats","2-room Flexi","3-room","4-room","5-room","lon","lat","Type"
"3","November 2020","Bishan",1500,"No",450000,650000,NA,103.853475,1.351645,"BTO"
"1","November 2020","Sembawang",720,"No",200000,300000,400000,103.823202,1.443867,"BTO"
"4","November 2020","Tampines",750,"No",NA,400000,500000,103.936451,1.339557,"BTO"
"2","November 2020","Tengah",1570,"No",250000,350000,500000,103.730409,1.358622,"BTO"
"5","November 2020","Toa Payoh",880,"No",400000,550000,650000,103.879971,1.341481,"BTO"
"5.1","November 2020","Toa Payoh",350,"No",400000,550000,650000,103.875043,1.33843,"BTO"
