,Schools,lon,lat
135,Si Ling Primary School,103.78577,1.432693
136,Singapore Chinese Girls' Primary School,103.8283283,1.3212164
137,South View Primary School,103.747145,1.381324
138,Springdale Primary School,103.8897326,1.3949665
139,St. Andrew's Junior School,103.8652089,1.331468
140,St. Anthony's Canossian Primary School,103.941072,1.334282
141,St. Anthony's Primary School,103.7490186,1.3642757
142,St. Gabriel's Primary School,103.8620253,1.3497182
143,St. Hilda's Primary School,103.936605,1.3492104
144,St. Joseph's Institution Junior,103.8459004,1.317458
145,St. Margaret's Primary School,103.881867,1.3246436
146,St. Stephen's School,103.9175727,1.3188814
147,Stamford Primary School,103.8572692,1.304116
148,Tampines North Primary School,103.948581,1.360298
149,Tampines Primary School,103.94402,1.349774
150,Tanjong Katong Primary School,103.9388712,1.3243906
151,Tao Nan School,103.9113177,1.3049455
152,Teck Ghee Primary School,103.8506032,1.3653954
153,Teck Whye Primary School,103.753548,1.383126
154,Telok Kurau Primary School,103.9114083,1.3309135
155,Temasek Primary School,103.945488,1.317502
156,Townsville Primary School,103.8537829,1.3600534
157,Unity Primary School,103.74729,1.403245
158,Valour Primary School,103.89861,1.4116904
159,Waterway Primary School,103.9186176,1.3991315
160,Wellington Primary School,103.8222601,1.4519448
161,West Grove Primary School,103.698987,1.34455
162,West Spring Primary School,103.7652356,1.3895049
163,West View Primary School,103.759692,1.3835817
164,Westwood Primary School,103.7003201,1.3475751
165,White Sands Primary School,103.9612985,1.3649338
166,Woodgrove Primary School,103.7904291,1.4331667
167,Woodlands Primary School,103.791794,1.436771
168,Woodlands Ring Primary School,103.797928,1.434839
169,Xinghua Primary School,103.8901506,1.3578717
170,Xingnan Primary School,103.68778,1.34283
171,Xinmin Primary School,103.8830289,1.371069
172,Xishan Primary School,103.8378387,1.4334989
173,Yangzheng Primary School,103.8682765,1.3488764
174,Yew Tee Primary School,103.751221,1.396985
175,Yio Chu Kang Primary School,103.885447,1.3777919
176,Yishun Primary School,103.834125,1.4334484
177,Yuhua Primary School,103.7406829,1.3428019
178,Yumin Primary School,103.9507462,1.3514701
179,Zhangde Primary School,103.8260335,1.2843455
180,Zhenghua Primary School,103.769301,1.37957
181,Zhonghua Primary School,103.869558,1.359895
182,Catholic High School,103.8454488,1.3551578
183,CHIJ St. Nicholas Girls' School,103.834125,1.3736139
184,Maris Stella High School,103.8782839,1.341737
