"","X","Address","Room","Model","Year","Area","Price","Type","lon","lat","address"
"1914",1914,"  Blk 331B Anchorvale Street Singapore","5-Room","Improved"," Built-2014","112 sqm / $471 psf(Built)","$569,000","Resale",103.8902484,1.3956678,"anchorvale st, singapore 542331"
"1915",1915,"  Blk 443 Ang Mo Kio Avenue 10 Singapore","3-Room","New Generation"," Built-1979","67 sqm / $427 psf(Built)","$308,000","Resale",103.8553623,1.3660482,"443 ang mo kio ave 10, singapore 560443"
"1916",1916,"  Blk 808B Chai Chee Road Singapore","3-Room","Model A"," Built-2016","68 sqm / $628 psf(Built)","$460,000","Resale",103.9239837,1.3271019,"808b chai chee rd, singapore 461808"
"1917",1917,"  Blk 507A Wellington Circle Singapore","5-Room","Improved"," Built-2001","110 sqm / $337 psf(Built)","$400,000","Resale",103.8238903,1.4526688,"507a wellington cir, block 507a, singapore 751507"
"1918",1918,"  Blk 290F Bukit Batok Street 24 Singapore","5-Room","Improved"," Built-1997","121 sqm / $422 psf(Built)","$550,000","Resale",103.7575647,1.3433277,"290f bukit batok street 24, block 290f, singapore 655290"
"1919",1919,"  Blk 808C Chai Chee Road Singapore","4-Room","New Generation"," Built-2015","88 sqm / $628 psf(Built)","$595,000","Resale",103.9233711,1.327395,"808c chai chee rd, singapore 463808"
"1920",1920,"  Blk 588D Park Central @ Amk Singapore","5-Room","Dbss"," Built-2011","113 sqm / $723 psf(Built)","$880,000","Resale",103.8526491,1.3720758,"588a ang mo kio street 52, singapore 561588"
"1921",1921,"  Blk 5 Jalan Batu Singapore","3-Room","Standard"," Built-1969","60 sqm / $464 psf(Built)","$300,000","Resale",103.8839963,1.3015525,"5 jln batu, block 5, singapore 431005"
"1922",1922,"  Blk 260B Punggol Way Singapore","5-Room","Improved"," Built-2016","113 sqm / $518 psf(Built)","$630,000","Resale",103.8967952,1.4047619,"260b punggol way, singapore"
"1923",1923,"  Blk 588D Park Central @ Amk Singapore","5-Room","Dbss"," Built-2011","113 sqm / $723 psf(Built)","$880,000","Resale",103.8526491,1.3720758,"588a ang mo kio street 52, singapore 561588"
"1924",1924,"  Blk 217B Compassvale Drive Singapore","5-Room","Model A"," Built-2016","112 sqm / $580 psf(Built)","$700,000","Resale",103.8940843,1.3893303,"217b compassvale dr, singapore 542217"
"1925",1925,"  Blk 460 Clementi Avenue 3 Singapore","4-Room","Model A"," Built-2002","92 sqm / $565 psf(Built)","$560,000","Resale",103.766889,1.3110612,"460 clementi ave 3, block 460, singapore 120460"
"1926",1926,"  Blk 689F Woodlands Drive 75 Singapore","5-Room","Improved"," Built-2004","110 sqm / $380 psf(Built)","$450,000","Resale",103.8087142,1.443492,"689f woodlands drive 75, singapore 736689"
"1927",1927,"  Blk 241 Bukit Panjang Ring Road Singapore","5-Room","Improved"," Built-1988","122 sqm / $396 psf(Built)","$520,000","Resale",103.7718683,1.3797344,"241 bukit panjang ring rd, block 241, singapore 670241"
"1928",1928,"  Blk 86 Dawson Road Singapore","4-Room","Improved"," Built-2016","83 sqm / $951 psf(Built)","$850,000","Resale",103.8103377,1.2956741,"86 dawson rd, singapore 141086"
"1929",1929,"  Blk 404 Sin Ming Avenue Singapore","HDB Executive","Maisonette"," Built-1986","149 sqm / $579 psf(Built)","$930,000","Resale",103.833902,1.362625,"404 sin ming ave, singapore 570404"
"1930",1930,"  Blk 205 Toa Payoh North Singapore","3-Room","Improved(modified)"," Built-1973","65 sqm / $411 psf(Built)","$288,000","Resale",103.8482103,1.3421469,"205 toa payoh n, block 205, singapore 310205"
"1931",1931,"  Blk 205 Toa Payoh North Singapore","3-Room","Improved"," Built-1973","65 sqm / $425 psf(Built)","$298,000","Resale",103.8482103,1.3421469,"205 toa payoh n, block 205, singapore 310205"
"1932",1932,"  Blk 321 Ubi Avenue 1 Singapore","3-Room","Simplified"," Built-1985","64 sqm / $457 psf(Built)","$315,000","Resale",103.904683,1.328475,"321 ubi ave 1, singapore 400321"
"1933",1933,"  Blk 57 Stirling Road Singapore","4-Room","Terrace"," Built-1968","86 sqm / $917 psf(Built)","$850,000","Resale",103.8044404,1.2963559,"57 stirling rd, singapore 141057"
"1934",1934,"  Blk 347B Adora Green Singapore","4-Room","Model A"," Built-2013","91 sqm / $520 psf(Built)","$510,000","Resale",103.8411561,1.4272785,"yishun ave 11, singapore 761347"
"1935",1935,"  Blk 228 Bishan Street 23 Singapore","4-Room","Model A"," Built-1992","105 sqm / $486 psf(Built)","$550,000","Resale",103.846761,1.358119,"228 bishan street 23, block 228, singapore 570228"
"1936",1936,"  Blk 199C Punggol Field Singapore","5-Room","Standard"," Built-2003","110 sqm / $354 psf(Built)","$420,000","Resale",103.905878,1.4005749,"199c punggol field, singapore 823199"
"1937",1937,"  Blk 228 Bishan Street 23 Singapore","4-Room","Model A"," Built-1992","105 sqm / $504 psf(Built)","$570,000","Resale",103.846761,1.358119,"228 bishan street 23, block 228, singapore 570228"
"1938",1938,"  Blk 615 Hougang Avenue 8 Singapore","HDB Executive","Maisonette"," Built-1986","148 sqm / $463 psf(Built)","$738,000","Resale",103.884993,1.3685883,"615 hougang ave 8, block 615, singapore 530615"
"1939",1939,"  Blk 232 Hougang Avenue 1 Singapore","4-Room","Model A"," Built-1984","104 sqm / $420 psf(Built)","$470,000","Resale",103.8885268,1.3585337,"232 hougang ave 1, block 232, singapore 530232"
"1940",1940,"  Blk 315B Punggol Way Singapore","3-Room","Model A"," Built-2016","68 sqm / $543 psf(Built)","$398,000","Resale",103.8966508,1.4081377,"315b punggol way, singapore 822315"
"1941",1941,"  Blk 47 Lorong 6 Toa Payoh Singapore","3-Room","Simplified"," Built-1969","58 sqm / $416 psf(Built)","$260,000","Resale",103.8540048,1.3369237,"47 lor 6 toa payoh, block 47, singapore 310047"
"1942",1942,"  Blk 748B Belvia Singapore","4-Room","Model A"," Built-2014","87 sqm / $694 psf(Built)","$650,000","Resale",103.9213614,1.3365339,"747a bedok reservoir cres, singapore 471747"
"1943",1943,"  Blk 230 Compassvale Walk Singapore","4-Room","Model A"," Built-1999","101 sqm / $381 psf(Built)","$415,000","Resale",103.9013943,1.388785,"230 compassvale walk, singapore 540230"
"1944",1944,"  Blk 748C Belvia Singapore","4-Room","Model A"," Built-2014","87 sqm / $694 psf(Built)","$650,000","Resale",103.9213614,1.3365339,"747a bedok reservoir cres, singapore 471747"
"1945",1945,"  Blk 490D Choa Chu Kang Avenue 5 Singapore","4-Room","Model A"," Built-2016","93 sqm / $467 psf(Built)","$468,000","Resale",103.7411025,1.37613,"490d choa chu kang ave 5, singapore 684490"
"1946",1946,"  Blk 12 Holland Avenue Singapore","3-Room","Improved"," Built-1975","65 sqm / $578 psf(Built)","$405,000","Resale",103.7945943,1.3095155,"12 holland ave, block 12, singapore 272012"
"1947",1947,"  Blk 203 Toa Payoh North Singapore","3-Room","Improved(modified)"," Built-1982","65 sqm / $411 psf(Built)","$288,000","Resale",103.8491162,1.3420685,"203 toa payoh n, block 203, singapore 310203"
"1948",1948,"  Blk 148 Potong Pasir Avenue 1 Singapore","4-Room","Simplified"," Built-1998","93 sqm / $559 psf(Built)","$560,000","Resale",103.8680478,1.3326694,"148 potong pasir ave 1, block 148, singapore 350148"
"1949",1949,"  Blk 533 Serangoon North Avenue 4 Singapore","5-Room","Improved"," Built-1992","","$520,000","Resale",103.8744855,1.3745773,"533 serangoon north ave 4, block 533, singapore 550533"
"1950",1950,"  Blk 475B Parkland Residences Singapore","5-Room","Model A"," Built-2014","109 sqm / $629 psf(Built)","$738,000","Resale",103.9002105,1.375868,"475a upper serangoon cres, singapore 531475"
"1951",1951,"  Blk 130 Cashew Road Singapore","HDB Executive","Apartment"," Built-1988","142 sqm / $422 psf(Built)","$645,000","Resale",103.7712346,1.3740942,"130 cashew rd, block 130, singapore 670130"
"1952",1952,"  Blk 176B Edgefield Plains Singapore","5-Room","Improved"," Built-2003","111 sqm / $384 psf(Built)","$459,000","Resale",103.908585,1.398466,"176b edgefield plains, singapore 822176"
"1953",1953,"  Blk 87 Dawson Road Singapore","4-Room","Premium Apartment"," Built-2016","83 sqm / $951 psf(Built)","$850,000","Resale",103.8099048,1.2960052,"87 dawson rd, singapore 141087"
"1954",1954,"  Blk 331 Tah Ching Road Singapore","HDB Executive","Apartment"," Built-1996","139 sqm / $433 psf(Built)","$648,000","Resale",103.7235083,1.3380879,"331 tah ching rd, block 331, singapore 611331"
"1955",1955,"  Blk 118B Jalan Membina Singapore","5-Room","Improved"," Built-2003","110 sqm / $682 psf(Built)","$808,000","Resale",103.8260912,1.2820389,"118b jln membina, block 118b, singapore 162118"
"1956",1956,"  Blk 539 Ang Mo Kio Avenue 10 Singapore","5-Room","Improved"," Built-1980","118 sqm / $405 psf(Built)","$515,000","Resale",103.8543703,1.375436,"539 ang mo kio ave 10, block 539, singapore 560539"
"1957",1957,"  Blk 338 Clementi Avenue 2 Singapore","5-Room","Improved"," Built-1978","119 sqm / $491 psf(Built)","$630,000","Resale",103.7694239,1.3161701,"338 clementi ave 2, block 338, singapore 120338"
"1958",1958,"  Blk 63A Lengkok Bahru Singapore","4-Room","Standard"," Built-2001","94 sqm / $750 psf(Built)","$760,000","Resale",103.8153318,1.2897957,"63a lengkok bahru, block 63a, singapore 151063"
"1959",1959,"  Blk 104 Towner Road Singapore","HDB Executive","Model A-maisonette"," Built-1983","137 sqm / $674 psf(Built)","$995,000","Resale",103.8608698,1.3198388,"104 towner rd, block 104, singapore 327827"
"1960",1960,"  Blk 658 Jalan Tenaga Singapore","4-Room","Model A"," Built-1996","106 sqm / $420 psf(Built)","$480,000","Resale",103.906288,1.3336872,"658 jln tenaga, block 658, singapore 410658"
"1961",1961,"  Blk 443C Fajar Road Singapore","4-Room","Model A"," Built-2016","93 sqm / $469 psf(Built)","$470,000","Resale",103.7698539,1.380571,"443c fajar rd, singapore 673443"
"1962",1962,"  Blk 195A Punggol Road Singapore","4-Room","Model A"," Built-2007","90 sqm / $479 psf(Built)","$465,000","Resale",103.9062046,1.4015688,"195a punggol rd, singapore 821195"
"1963",1963,"  Blk 584 Ang Mo Kio Avenue 3 Singapore","4-Room","New Generation"," Built-1979","91 sqm / $443 psf(Built)","$435,000","Resale",103.8533979,1.3707241,"584 ang mo kio ave 3, block 584, singapore 560584"
