"","X","Address","Room","Model","Year","Area","Price","Type","lon","lat","address"
"1",1,"  Blk 310B Punggol Walk Singapore","5-Room","Improved"," Built-2015","112 sqm / $522 psf(Built)","$630,000","Resale",103.9004061,1.4094207,"310b punggol walk, singapore 822310"
"2",NA,"  Blk 988C Jurong West Street 93 Singapore","5-Room","Premium Apartment"," Built-2008","110 sqm / $464 psf(Built)","$550,000","Resale",103.6958416,1.3358952,"988c jurong west street 93, singapore 643988"
"3",3,"  Blk 127D Kim Tian Road Singapore","4-Room","Model A"," Built-2013","88 sqm / $850 psf(Built)","$805,000","Resale",103.8298718,1.2811233,"127d kim tian rd, singapore 164127"
"4",4,"  Blk 365C Upper Serangoon Road Singapore","4-Room","Model A"," Built-2016","92 sqm / $606 psf(Built)","$600,000","Resale",103.8973229,1.3702837,"365 upper serangoon rd, singapore 530336"
"5",5,"  Blk 122A Edgedale Plains Singapore","4-Room","Model A"," Built-2016","92 sqm / $484 psf(Built)","$480,000","Resale",103.9093692,1.3936471,"122a edgedale plains, singapore 821122"
"6",6,"  Blk 753 Woodlands Circle Singapore","4-Room","Model A"," Built-1997","103 sqm / $347 psf(Built)","$385,000","Resale",103.7945038,1.4457669,"753 woodlands cir, block 753, singapore 730753"
"7",7,"  Blk 86 Dawson Road Singapore","4-Room","Premium Apartment"," Built-2016","87 sqm / $849 psf(Built)","$795,000","Resale",103.8103377,1.2956741,"86 dawson rd, singapore 141086"
"8",8,"  Blk 311A Trivelis Singapore","3-Room","Improved"," Built-2014","60 sqm / $897 psf(Built)","$580,000","Resale",103.7655694,1.3191667,"311a clementi ave 4, singapore 121311"
"9",9,"  Blk 316D Punggol Way Singapore","5-Room","Improved"," Built-2015","113 sqm / $616 psf(Built)","$750,000","Resale",103.8969811,1.4081041,"316 punggol way, singapore 821316"
"10",10,"  Blk 135 Bishan Street 12 Singapore","5-Room","Improved"," Built-1987","121 sqm / $491 psf(Built)","$640,000","Resale",103.851245,1.3445821,"135 bishan street 12, block 135, singapore 570135"
"11",11,"  Blk 10A Tiong Bahru View Singapore","4-Room","Model A"," Built-2016","92 sqm / $959 psf(Built)","$950,000","Resale",103.8286125,1.2869556,"9a boon tiong rd, singapore 162009"
"12",12,"  Blk 664D Jurong West Street 64 Singapore","4-Room","Model A"," Built-2000","90 sqm / $438 psf(Built)","$425,000","Resale",103.702718,1.3388802,"664d jurong west street 64, block 664d, singapore 644664"
"13",13,"  Blk 411A Fernvale Road Singapore","4-Room","Model A"," Built-2012","96 sqm / $561 psf(Built)","$580,000","Resale",103.8771101,1.390323,"411a fernvale rd, singapore 791411"
"14",14,"  Blk 107 Bishan Street 12 Singapore","4-Room","Model A"," Built-1985","104 sqm / $580 psf(Built)","$650,000","Resale",103.8480291,1.3463946,"107 bishan street 12, block 107, singapore 570107"
"15",15,"  Blk 807C Choa Chu Kang Avenue 1 Singapore","4-Room","Model A"," Built-2015","92 sqm / $493 psf(Built)","$488,888","Resale",103.7455959,1.376412,"807c choa chu kang ave 1, singapore 683807"
"16",16,"  Blk 588C Park Central @ Amk Singapore","5-Room","Built-2011",NA,"120 sqm / $696 psf(Built)","$900,000","Resale",103.8526491,1.3720758,"588a ang mo kio street 52, singapore 561588"
"17",17,"  Blk 807A Chai Chee Road Singapore","3-Room","Model A"," Built-2016","68 sqm / $710 psf(Built)","$520,000","Resale",103.9232433,1.3272024,"807a chai chee rd, singapore 461808"
"18",18,"  Blk 121 Bedok North Road Singapore","4-Room","New Generation"," Built-1978","92 sqm / $434 psf(Built)","$430,000","Resale",103.9387352,1.3296222,"121 bedok north rd, block 121, singapore 460121"
"19",19,"  Blk 14A Telok Blangah Crescent Singapore","4-Room","Model A"," Built-1999","100 sqm / $548 psf(Built)","$590,000","Resale",103.8207883,1.2778656,"14a telok blangah cres, block 14a, singapore 091014"
"20",20,"  Blk 710 Ang Mo Kio Avenue 8 Singapore","5-Room","Improved"," Built-1980","117 sqm / $578 psf(Built)","$728,000","Resale",103.8482103,1.3710763,"710 ang mo kio ave 8, singapore 560710"
"21",21,"  Blk 495B Tampines Street 43 Singapore","3-Room","Built-1994",NA,"147 sqm / $403 psf(Built)","$638,888","Resale",103.9513128,1.3628324,"495b tampines street 43, block 495b, singapore 521495"
"22",22,"  Blk 88 Redhill Close Singapore","4-Room","Model A"," Built-1995","111 sqm / $702 psf(Built)","$838,888","Resale",103.8185242,1.2859206,"88 redhill cl, block 88, singapore 150088"
"23",23,"  Blk 86 Dawson Road Singapore","5-Room","Improved"," Built-2016","108 sqm / $838 psf(Built)","$975,000","Resale",103.8103377,1.2956741,"86 dawson rd, singapore 141086"
"24",24,"  Blk 520A Centrale 8 At Tampines Singapore","4-Room","Dbss"," Built-2014","84 sqm / $794 psf(Built)","$718,000","Resale",103.9400264,1.3569026,"520a tampines central 8, singapore 521520"
"25",25,"  Blk 128 Bedok Reservoir Road Singapore","5-Room","Improved"," Built-1986","122 sqm / $600 psf(Built)","$788,000","Resale",103.9114536,1.3334379,"128 bedok reservoir rd, block 128, singapore 470128"
"26",26,"  Blk 289D Punggol Place Singapore","5-Room","Others"," Built-2013","115 sqm / $525 psf(Built)","$650,000","Resale",103.903694,1.401994,"289d punggol pl, singapore 824289"
"27",27,"  Blk 672B Klang Lane Singapore","4-Room","Model A"," Built-2002","85 sqm / $568 psf(Built)","$520,000","Resale",103.8529137,1.3089683,"672b klang ln, singapore 212672"
"28",28,"  Blk 165A Punggol Central Singapore","4-Room","Premium Apartment"," Built-2004","95 sqm / $418 psf(Built)","$428,000","Resale",103.914794,1.3952225,"165a punggol central, singapore 821165"
"29",29,"  Blk 673B Edgefield Plains Singapore","4-Room","Model A"," Built-2015","90 sqm / $490 psf(Built)","$475,000","Resale",103.9110911,1.4069768,"673b edgefield plains, singapore 822673"
"30",30,"  Blk 213C Punggol Walk Singapore","4-Room","Model A"," Built-2015","93 sqm / $454 psf(Built)","$455,000","Resale",103.8987968,1.4008405,"213c punggol walk, singapore 828792"
"31",31,"  Blk 208A Punggol Place Singapore","3-Room","New Generation"," Built-2014","67 sqm / $527 psf(Built)","$380,000","Resale",103.9012184,1.4008219,"208a punggol pl, singapore 821208"
"32",32,"  Blk 681 Race Course Road Singapore","4-Room","Model A"," Built-1986","103 sqm / $532 psf(Built)","$590,888","Resale",103.855277,1.3140759,"681 race course rd, block 681, singapore 210681"
"33",33,"  Blk 113 Bishan Street 12 Singapore","4-Room","Simplified"," Built-1986","84 sqm / $553 psf(Built)","$500,000","Resale",103.8485727,1.3472701,"113 bishan street 12, block 113, singapore 570113"
"34",34,"  Blk 155 Lorong 1 Toa Payoh Singapore","4-Room","Model A"," Built-1999","101 sqm / $651 psf(Built)","$708,000","Resale",103.84558,1.3327228,"155 lor 1 toa payoh, block 155, singapore 310155"
"35",35,"  Blk 52 Telok Blangah Drive Singapore","5-Room","Improved"," Built-1978","118 sqm / $511 psf(Built)","$650,000","Resale",103.8111707,1.2738102,"52 telok blangah dr, block 52, singapore 100052"
"36",36,"  Blk 70 Lorong 4 Toa Payoh Singapore","3-Room","Improved"," Built-1969","64 sqm / $403 psf(Built)","$278,000","Resale",103.8522881,1.3346601,"70 lor 4 toa payoh, block 70, singapore 310070"
"37",37,"  Blk 332B Anchorvale Link Singapore","5-Room","Improved"," Built-2015","112 sqm / $538 psf(Built)","$650,000","Resale",103.8914065,1.3951513,"332c anchorvale link, blk 332b, singapore 543332"
"38",38,"  Blk 344 Ang Mo Kio Avenue 3 Singapore","4-Room","New Generation"," Built-1978","98 sqm / $454 psf(Built)","$480,000","Resale",103.8492068,1.3679934,"344 ang mo kio ave 3, block 344, singapore 560344"
"39",39,"  Blk 310C Punggol Walk Singapore","5-Room","Premium Apartment"," Built-2016","112 sqm / $526 psf(Built)","$635,000","Resale",103.8999638,1.4096731,"310 c punggol walk, singapore 822310"
"40",40,"  Blk 807A Chai Chee Road Singapore","3-Room","Model A"," Built-2016","68 sqm / $710 psf(Built)","$520,000","Resale",103.9232433,1.3272024,"807a chai chee rd, singapore 461808"
"41",41,"  Blk 479 Sembawang Drive Singapore","4-Room","Model A"," Built-2000","88 sqm / $411 psf(Built)","$390,000","Resale",103.815694,1.4526098,"479 sembawang dr, block 479, singapore 750479"
"42",42,"  Blk 7 Everton Park Singapore","3-Room","Improved"," Built-1980","78 sqm / $565 psf(Built)","$475,000","Resale",103.8392427,1.2770881,"7 everton park, block 7, singapore 080007"
"43",43,"  Blk 311C Trivelis Singapore","4-Room","New Generation"," Built-2014","80 sqm / $915 psf(Built)","$788,000","Resale",103.7655694,1.3191667,"311a clementi ave 4, singapore 121311"
"44",44,"  Blk 249 Tampines Street 21 Singapore","4-Room","Model A"," Built-1984","103 sqm / $458 psf(Built)","$508,000","Resale",103.9484346,1.3518862,"249 tampines street 21, block 249, singapore 520249"
"45",45,"  Blk 530 Bedok North Street 3 Singapore","3-Room","New Generation"," Built-1979","68 sqm / $382 psf(Built)","$280,000","Resale",103.9269518,1.3337144,"530 bedok north street 3, block 530, singapore 460530"
"46",46,"  Blk 672A Klang Lane Singapore","5-Room","Improved"," Built-2002","105 sqm / $495 psf(Built)","$560,000","Resale",103.8524905,1.3085134,"672a klang ln, singapore 211672"
"47",47,"  Blk 55 Chai Chee Drive Singapore","3-Room","Model A"," Built-1984","76 sqm / $366 psf(Built)","$300,000","Resale",103.9193384,1.3271729,"55 chai chee dr, block 55, singapore 460055"
"48",48,"  Blk 121 Bedok North Road Singapore","4-Room","New Generation"," Built-1978","92 sqm / $434 psf(Built)","$430,000","Resale",103.9387352,1.3296222,"121 bedok north rd, block 121, singapore 460121"
"49",49,"  Blk 268D Punggol Field Singapore","5-Room","Improved"," Built-2013","112 sqm / $663 psf(Built)","$800,000","Resale",103.8982373,1.4034272,"268d punggol field, singapore 824268"
"50",50,"  Blk 666B Punggol Drive Singapore","5-Room","Premium Apartment"," Built-2016","113 sqm / $542 psf(Built)","$660,000","Resale",103.9153018,1.4019207,"666b punggol dr, singapore 822666"
"51",51,"  Blk 515C The Premiere @ Tampines Singapore","5-Room","Model A"," Built-2009","109 sqm / $664 psf(Built)","$780,000","Resale",103.9388706,1.3566593,"515 tampines central 7, singapore 524515"
"52",52,"  Blk 6 Holland Close Singapore","3-Room","Improved"," Built-1974","65 sqm / $540 psf(Built)","$378,000","Resale",103.7954772,1.3071143,"6 holland cl, block 6, singapore 271006"
"53",53,"  Blk 673B Edgefield Plains Singapore","4-Room","Model A"," Built-2015","90 sqm / $490 psf(Built)","$475,000","Resale",103.9110911,1.4069768,"673b edgefield plains, singapore 822673"
"54",54,"  Blk 525C Pasir Ris Street 51 Singapore","4-Room","Improved"," Built-2015","93 sqm / $487 psf(Built)","$488,000","Resale",103.9474365,1.3701025,"525c pasir ris street 51, singapore 513525"
"55",55,"  Blk 155 Lorong 1 Toa Payoh Singapore","4-Room","Model A"," Built-1999","101 sqm / $651 psf(Built)","$708,000","Resale",103.84558,1.3327228,"155 lor 1 toa payoh, block 155, singapore 310155"
"56",56,"  Blk 89 Dawson Road Singapore","4-Room","Standard"," Built-2016","95 sqm / $928 psf(Built)","$950,000","Resale",103.8118373,1.2953964,"89 dawson rd, singapore 142089"
"57",57,"  Blk 311B Trivelis Singapore","4-Room","Dbss"," Built-2014","81 sqm / $860 psf(Built)","$750,000","Resale",103.7655694,1.3191667,"311a clementi ave 4, singapore 121311"
"58",58,"  Blk 213C Punggol Walk Singapore","5-Room","Improved"," Built-2015","113 sqm / $468 psf(Built)","$570,000","Resale",103.8987968,1.4008405,"213c punggol walk, singapore 828792"
"59",59,"  Blk 10A Tiong Bahru View Singapore","4-Room","Model A"," Built-2016","92 sqm / $994 psf(Built)","$985,000","Resale",103.8286125,1.2869556,"9a boon tiong rd, singapore 162009"
"60",60,"  Blk 2 Jalan Bukit Merah Singapore","3-Room","Improved"," Built-1975","63 sqm / $424 psf(Built)","$288,000","Resale",103.8068191,1.2866982,"2 jalan bukit merah, singapore 150002"
"61",61,"  Blk 220 Serangoon Avenue 4 Singapore","4-Room","New Generation"," Built-1984","93 sqm / $549 psf(Built)","$550,000","Resale",103.87222,1.3586973,"220 serangoon ave 4, block 220, singapore 550220"
"62",62,"  Blk 111A Depot Road Singapore","5-Room","Model A"," Built-2006","115 sqm / $614 psf(Built)","$760,000","Resale",103.8088168,1.2811278,"111a depot rd, block 111a, singapore 101111"
"63",63,"  Blk 28B Dover Crescent Singapore","4-Room","Model A"," Built-2012","88 sqm / $726 psf(Built)","$688,000","Resale",103.7819406,1.3053608,"28b dover cres, singapore 132028"
"64",64,"  Blk 17B Circuit Road Singapore","4-Room","Model A"," Built-2016","93 sqm / $779 psf(Built)","$780,000","Resale",103.8890392,1.3299833,"17b circuit rd, singapore 372017"
"65",65,"  Blk 289D Punggol Place Singapore","5-Room","Others"," Built-2013","115 sqm / $525 psf(Built)","$650,000","Resale",103.903694,1.401994,"289d punggol pl, singapore 824289"
"66",66,"  Blk 139 Potong Pasir Avenue 3 Singapore","3-Room","Model A"," Built-1984","74 sqm / $483 psf(Built)","$385,000","Resale",103.8661493,1.3332643,"139 potong pasir ave 3, block 139, singapore 350139"
"67",67,"  Blk 310C Punggol Walk Singapore","5-Room","Premium Apartment"," Built-2016","112 sqm / $526 psf(Built)","$635,000","Resale",103.8999638,1.4096731,"310 c punggol walk, singapore 822310"
"68",68,"  Blk 619A Punggol Drive Singapore","4-Room","Model A"," Built-2013","93 sqm / $498 psf(Built)","$499,000","Resale",103.9115057,1.4024529,"619a punggol dr, singapore 821619"
"69",69,"  Blk 202A Compassvale Drive Singapore","HDB Executive","Apartment"," Built-2001","130 sqm / $420 psf(Built)","$588,000","Resale",103.893254,1.38875,"202a compassvale dr, singapore 541202"
"70",70,"  Blk 70 Lorong 4 Toa Payoh Singapore","3-Room","Improved"," Built-1969","64 sqm / $403 psf(Built)","$278,000","Resale",103.8522881,1.3346601,"70 lor 4 toa payoh, block 70, singapore 310070"
"71",71,"  Blk 472A Fernvale Rivergrove Singapore","5-Room","Design & Built"," Built-2016","113 sqm / $475 psf(Built)","$578,000","Resale",103.8805131,1.3966499,"470b fernvale link, singapore 792470"
"72",72,"  Blk 131B Kim Tian Road Singapore","4-Room","Model A"," Built-2002","91 sqm / $702 psf(Built)","$688,000","Resale",103.8282723,1.2809123,"131b kim tian rd, singapore 162131"
"73",73,"  Blk 87 Dawson Road Singapore","3-Room","New Generation"," Built-2015","65 sqm / $954 psf(Built)","$668,000","Resale",103.8099048,1.2960052,"87 dawson rd, singapore 141087"
"74",74,"  Blk 515C The Premiere @ Tampines Singapore","5-Room","Improved"," Built-2008","109 sqm / $664 psf(Built)","$780,000","Resale",103.9388706,1.3566593,"515 tampines central 7, singapore 524515"
"75",75,"  Blk 88 Redhill Close Singapore","4-Room","Model A"," Built-1995","111 sqm / $702 psf(Built)","$838,888","Resale",103.8185242,1.2859206,"88 redhill cl, block 88, singapore 150088"
"76",76,"  Blk 611 Hougang Avenue 8 Singapore","4-Room","Simplified"," Built-1986","84 sqm / $420 psf(Built)","$380,000","Resale",103.8846305,1.3700555,"611 hougang ave 8, block 611, singapore 530611"
"77",77,"  Blk 428 Clementi Avenue 3 Singapore","3-Room","Standard"," Built-1978","66 sqm / $507 psf(Built)","$360,000","Resale",103.7631773,1.3125457,"428 clementi ave 3, block 428, singapore 120428"
"78",78,"  Blk 310C Punggol Walk Singapore","5-Room","Model A"," Built-2016","112 sqm / $538 psf(Built)","$650,000","Resale",103.8999638,1.4096731,"310 c punggol walk, singapore 822310"
"79",79,"  Blk 183C Boon Lay Avenue Singapore","4-Room","Model A"," Built-2015","92 sqm / $484 psf(Built)","$480,000","Resale",103.7092363,1.3485931,"183c boon lay ave, singapore 643183"
"80",80,"  Blk 495B Tampines Street 43 Singapore","3-Room","Built-1994",NA,"147 sqm / $403 psf(Built)","$638,888","Resale",103.9513128,1.3628324,"495b tampines street 43, block 495b, singapore 521495"
"81",81,"  Blk 117 Edgefield Plains Singapore","5-Room","Model A"," Built-2003","112 sqm / $402 psf(Built)","$485,000","Resale",103.9064393,1.3953168,"117 edgefield plains, singapore 820117"
"82",82,"  Blk 672A Klang Lane Singapore","5-Room","Improved"," Built-2002","105 sqm / $495 psf(Built)","$560,000","Resale",103.8524905,1.3085134,"672a klang ln, singapore 211672"
"83",83,"  Blk 87 Dawson Road Singapore","3-Room","New Generation"," Built-2015","65 sqm / $954 psf(Built)","$668,000","Resale",103.8099048,1.2960052,"87 dawson rd, singapore 141087"
"84",84,"  Blk 442C Fajar Road Singapore","4-Room","Model A"," Built-2015","93 sqm / $449 psf(Built)","$450,000","Resale",103.7709292,1.381497,"442c fajar rd, singapore 674442"
"85",85,"  Blk 121 Bedok North Road Singapore","4-Room","New Generation"," Built-1978","92 sqm / $434 psf(Built)","$430,000","Resale",103.9387352,1.3296222,"121 bedok north rd, block 121, singapore 460121"
"86",86,"  Blk 111 Jurong East Street 13 Singapore","5-Room","Improved"," Built-1981","120 sqm / $386 psf(Built)","$500,000","Resale",103.735569,1.3387661,"111 jurong east street 13, block 111, singapore 600111"
"87",87,"  Blk 19 Bedok South Road Singapore","5-Room","Improved"," Built-1976","119 sqm / $498 psf(Built)","$638,000","Resale",103.9342936,1.3196254,"19 bedok s rd, block 19, singapore 460019"
"88",88,"  Blk 308A Punggol Walk Singapore","4-Room","Model A"," Built-2016","92 sqm / $520 psf(Built)","$515,000","Resale",103.9005963,1.4076123,"308a punggol walk, singapore 821308"
"89",89,"  Blk 366 Clementi Avenue 2 Singapore","3-Room","Model A"," Built-2003","61 sqm / $639 psf(Built)","$420,000","Resale",103.7717325,1.3125343,"366 clementi ave 2, block 366, singapore 120366"
"90",90,"  Blk 488A Tampines Avenue 9 Singapore","5-Room","Improved"," Built-1989","121 sqm / $445 psf(Built)","$580,000","Resale",103.9564542,1.3599286,"488a tampines ave 9, singapore 520488"
"91",91,"  Blk 495B Tampines Street 43 Singapore","3-Room","Built-1994",NA,"147 sqm / $403 psf(Built)","$638,888","Resale",103.9513128,1.3628324,"495b tampines street 43, block 495b, singapore 521495"
"92",92,"  Blk 710 Ang Mo Kio Avenue 8 Singapore","5-Room","Improved"," Built-1980","117 sqm / $578 psf(Built)","$728,000","Resale",103.8482103,1.3710763,"710 ang mo kio ave 8, singapore 560710"
"93",93,"  Blk 716 Clementi West Street 2 Singapore","4-Room","New Generation"," Built-1981","91 sqm / $433 psf(Built)","$425,000","Resale",103.7628152,1.302303,"716 clementi west street 2, block 716, singapore 120716"
"94",94,"  Blk 639 Bedok Reservoir Road Singapore","HDB Executive","Apartment"," Built-1993","144 sqm / $482 psf(Built)","$748,000","Resale",103.9046567,1.3317207,"639 bedok reservoir rd, block 639, singapore 410639"
"95",95,"  Blk 32 Bedok South Avenue 2 Singapore","5-Room","Standard"," Built-1978","118 sqm / $470 psf(Built)","$598,000","Resale",103.9378287,1.3226774,"32 bedok south ave 2, block 32, singapore 460032"
"96",96,"  Blk 628 Bukit Batok Central Singapore","HDB Executive","Multi Generation"," Built-1997","140 sqm / $484 psf(Built)","$730,000","Resale",103.7498737,1.3514322,"628 bukit batok central, block 628, singapore 650628"
"97",97,"  Blk 311C Trivelis Singapore","4-Room","New Generation"," Built-2014","80 sqm / $915 psf(Built)","$788,000","Resale",103.7655694,1.3191667,"311a clementi ave 4, singapore 121311"
"98",98,"  Blk 4 Sago Lane Singapore","3-Room","Improved"," Built-1974","67 sqm / $624 psf(Built)","$450,000","Resale",103.8429707,1.2817753,"4 sago ln, singapore 050004"
"99",99,"  Blk 451A Sengkang West Way Singapore","4-Room","Model A"," Built-2015","92 sqm / $463 psf(Built)","$458,800","Resale",103.874039,1.3944327,"451a sengkang w way, singapore 790451"
"100",100,"  Blk 202A Compassvale Drive Singapore","HDB Executive","Apartment"," Built-2001","130 sqm / $420 psf(Built)","$588,000","Resale",103.893254,1.38875,"202a compassvale dr, singapore 541202"
"101",101,"  Blk 183C Boon Lay Avenue Singapore","4-Room","Model A"," Built-2015","92 sqm / $484 psf(Built)","$480,000","Resale",103.7092363,1.3485931,"183c boon lay ave, singapore 643183"
"102",102,"  Blk 320 Hougang Avenue 5 Singapore","5-Room","Model A"," Built-1983","121 sqm / $337 psf(Built)","$440,000","Resale",103.898155,1.366379,"320 hougang ave 5, singapore 530320"
"103",103,"  Blk 612A Punggol Drive Singapore","4-Room","Model A"," Built-2012","93 sqm / $437 psf(Built)","$438,000","Resale",103.9084641,1.4049257,"612a punggol dr, singapore"
"104",104,"  Blk 10A Tiong Bahru View Singapore","4-Room","Model A"," Built-2016","92 sqm / $994 psf(Built)","$985,000","Resale",103.8286125,1.2869556,"9a boon tiong rd, singapore 162009"
"105",105,"  Blk 287 Yishun Avenue 6 Singapore","3-Room","Model A"," Built-1985","74 sqm / $401 psf(Built)","$320,000","Resale",103.8375991,1.4396966,"287 yishun ave 6, singapore 760287"
"106",106,"  Blk 17B Circuit Road Singapore","4-Room","Model A"," Built-2016","93 sqm / $779 psf(Built)","$780,000","Resale",103.8890392,1.3299833,"17b circuit rd, singapore 372017"
"107",107,"  Blk 611 Hougang Avenue 8 Singapore","4-Room","Simplified"," Built-1986","84 sqm / $420 psf(Built)","$380,000","Resale",103.8846305,1.3700555,"611 hougang ave 8, block 611, singapore 530611"
"108",108,"  Blk 344 Ang Mo Kio Avenue 3 Singapore","4-Room","New Generation"," Built-1978","98 sqm / $454 psf(Built)","$480,000","Resale",103.8492068,1.3679934,"344 ang mo kio ave 3, block 344, singapore 560344"
"109",109,"  Blk 1G The Pinnacle@Duxton Singapore","4-Room","Premium Apartment"," Built-2011","93 sqm / $968 psf(Built)","$969,000","Resale",103.8412344,1.2757638,"1g cantonment rd, singapore 085301"
"110",110,"  Blk 807A Chai Chee Road Singapore","3-Room","Model A"," Built-2016","68 sqm / $710 psf(Built)","$520,000","Resale",103.9232433,1.3272024,"807a chai chee rd, singapore 461808"
"111",111,"  Blk 673B Edgefield Plains Singapore","4-Room","Model A"," Built-2015","90 sqm / $490 psf(Built)","$475,000","Resale",103.9110911,1.4069768,"673b edgefield plains, singapore 822673"
"112",112,"  Blk 525C Pasir Ris Street 51 Singapore","4-Room","Improved"," Built-2015","93 sqm / $487 psf(Built)","$488,000","Resale",103.9474365,1.3701025,"525c pasir ris street 51, singapore 513525"
"113",113,"  Blk 172B Edgedale Plains Singapore","5-Room","Improved"," Built-2004","110 sqm / $369 psf(Built)","$438,000","Resale",103.9119068,1.3958304,"172b edgedale plains, block 172b, singapore 822172"
"114",114,"  Blk 325 Hougang Avenue 7 Singapore","5-Room","Improved"," Built-1983","121 sqm / $422 psf(Built)","$550,000","Resale",103.8986531,1.3675372,"325 hougang ave 7, block 325, singapore 530325"
"115",115,"  Blk 308A Punggol Walk Singapore","4-Room","Model A"," Built-2016","92 sqm / $555 psf(Built)","$550,000","Resale",103.9005963,1.4076123,"308a punggol walk, singapore 821308"
"116",116,"  Blk 213C Punggol Walk Singapore","4-Room","Model A"," Built-2015","93 sqm / $454 psf(Built)","$455,000","Resale",103.8987968,1.4008405,"213c punggol walk, singapore 828792"
"117",117,"  Blk 23B Queen's Close Singapore","4-Room","Improved"," Built-1973","89 sqm / $467 psf(Built)","$448,000","Resale",103.8004802,1.293681,"23b queen's cl, block 23b, singapore 141023"
"118",118,"  Blk 68 Redhill Close Singapore","4-Room","Model A"," Built-2001","85 sqm / $612 psf(Built)","$560,000","Resale",103.8160563,1.2868666,"68 redhill cl, block 68, singapore 150068"
"119",119,"  Blk 298C Compassvale Street Singapore","HDB Executive","Executive Apartment"," Built-2001","134 sqm / $402 psf(Built)","$580,000","Resale",103.9014441,1.3964075,"298c compassvale st, singapore 543298"
"120",120,"  Blk 807C Choa Chu Kang Avenue 1 Singapore","4-Room","Model A"," Built-2015","92 sqm / $493 psf(Built)","$488,888","Resale",103.7455959,1.376412,"807c choa chu kang ave 1, singapore 683807"
"121",121,"  Blk 138D Lake Vista @ Yuan Ching Singapore","4-Room","Dbss"," Built-2014","91 sqm / $607 psf(Built)","$595,000","Resale",103.723436,1.327773,"blk 138d yuan ching rd, singapore 614138"
"122",122,"  Blk 105 Bedok Reservoir Road Singapore","3-Room","New Generation"," Built-1985","67 sqm / $457 psf(Built)","$330,000","Resale",103.909188,1.3291336,"105 bedok reservoir rd, block 105, singapore 470105"
"123",123,"  Blk 442C Fajar Road Singapore","4-Room","Model A"," Built-2015","93 sqm / $449 psf(Built)","$450,000","Resale",103.7709292,1.381497,"442c fajar rd, singapore 674442"
"124",124,"  Blk 298C Compassvale Street Singapore","HDB Executive","Executive Apartment"," Built-2001","134 sqm / $402 psf(Built)","$580,000","Resale",103.9014441,1.3964075,"298c compassvale st, singapore 543298"
"125",125,"  Blk 101 Yishun Avenue 5 Singapore","3-Room","New Generation"," Built-1978","68 sqm / $408 psf(Built)","$299,000","Resale",103.8275584,1.4312508,"101 yishun ave 5, singapore 760101"
"126",126,"  Blk 695 Jurong West Central 1 Singapore","5-Room","Design & Built"," Built-1998","126 sqm / $441 psf(Built)","$598,000","Resale",103.7073329,1.3425898,"695 jurong west central 1, block 695, singapore 640695"
"127",127,"  Blk 19 Bedok South Road Singapore","5-Room","Improved"," Built-1976","119 sqm / $498 psf(Built)","$638,000","Resale",103.9342936,1.3196254,"19 bedok s rd, block 19, singapore 460019"
"128",128,"  Blk 221 Boon Lay Place Singapore","5-Room","Standard"," Built-1976","109 sqm / $426 psf(Built)","$499,999","Resale",103.7124483,1.3461938,"221 boon lay pl, singapore 640221"
"129",129,"  Blk 111 Jurong East Street 13 Singapore","5-Room","Improved"," Built-1981","120 sqm / $386 psf(Built)","$500,000","Resale",103.735569,1.3387661,"111 jurong east street 13, block 111, singapore 600111"
"130",130,"  Blk 666B Punggol Drive Singapore","5-Room","Premium Apartment"," Built-2016","113 sqm / $542 psf(Built)","$660,000","Resale",103.9153018,1.4019207,"666b punggol dr, singapore 822666"
"131",131,"  Blk 28B Dover Crescent Singapore","4-Room","Model A"," Built-2012","88 sqm / $726 psf(Built)","$688,000","Resale",103.7819406,1.3053608,"28b dover cres, singapore 132028"
"132",132,"  Blk 107 Jalan Bukit Merah Singapore","3-Room","Improved"," Built-1970","63 sqm / $427 psf(Built)","$290,000","Resale",103.8247507,1.2799457,"107 jalan bukit merah, block 107, singapore 160107"
"133",133,"  Blk 519C Centrale 8 At Tampines Singapore","4-Room","Model A"," Built-2014","84 sqm / $735 psf(Built)","$665,000","Resale",103.9400496,1.3562179,"519c tampines central 8, singapore 524519"
"134",134,"  Blk 183 Bedok North Road Singapore","4-Room","Model A"," Built-2005","92 sqm / $631 psf(Built)","$625,000","Resale",103.9418172,1.3263854,"183 bedok north rd, block 183, singapore 460183"
"135",135,"  Blk 308 Shunfu Road Singapore","3-Room","New Generation"," Built-1984","67 sqm / $624 psf(Built)","$450,000","Resale",103.8379898,1.3515149,"308 shunfu rd, singapore 570308"
"136",136,"  Blk 52 Telok Blangah Drive Singapore","5-Room","Improved"," Built-1978","118 sqm / $511 psf(Built)","$650,000","Resale",103.8111707,1.2738102,"52 telok blangah dr, block 52, singapore 100052"
"137",137,"  Blk 473A Upper Serangoon Crescent Singapore","5-Room","Improved"," Built-2016","112 sqm / $497 psf(Built)","$600,000","Resale",103.9003069,1.3767753,"473a upper serangoon cres, singapore 531473"
"138",138,"  Blk 311B Trivelis Singapore","4-Room","Model A"," Built-2014","82 sqm / $869 psf(Built)","$768,000","Resale",103.7655694,1.3191667,"311a clementi ave 4, singapore 121311"
"139",139,"  Blk 6 Holland Close Singapore","3-Room","Improved"," Built-1974","65 sqm / $540 psf(Built)","$378,000","Resale",103.7954772,1.3071143,"6 holland cl, block 6, singapore 271006"
