"","Address","Info","Area","Price"
"57","  Blk 311B Trivelis","4 Room •Dbss • Built-2014","81 sqm / $860 psf(Built)","$750,000"
"58","  Blk 213C Punggol Walk","5 Room •Improved • Built-2015","113 sqm / $468 psf(Built)","$570,000"
"59","  Blk 10A Tiong Bahru View","4 Room •Model A • Built-2016","92 sqm / $994 psf(Built)","$985,000"
"60","  Blk 2 Jalan Bukit Merah","3 Room •Improved • Built-1975","63 sqm / $424 psf(Built)","$288,000"
"61","  Blk 220 Serangoon Avenue 4","4 Room •New Generation • Built-1984","93 sqm / $549 psf(Built)","$550,000"
"62","  Blk 111A Depot Road","5 Room •Model A • Built-2006","115 sqm / $614 psf(Built)","$760,000"
"63","  Blk 28B Dover Crescent","4 Room •Model A • Built-2012","88 sqm / $726 psf(Built)","$688,000"
"64","  Blk 17B Circuit Road","4 Room •Model A • Built-2016","93 sqm / $779 psf(Built)","$780,000"
"65","  Blk 289D Punggol Place","5 Room •Others • Built-2013","115 sqm / $525 psf(Built)","$650,000"
"66","  Blk 139 Potong Pasir Avenue 3","3 Room •Model A • Built-1984","74 sqm / $483 psf(Built)","$385,000"
"67","  Blk 310C Punggol Walk","5 Room •Premium Apartment • Built-2016","112 sqm / $526 psf(Built)","$635,000"
"68","  Blk 619A Punggol Drive","4 Room •Model A • Built-2013","93 sqm / $498 psf(Built)","$499,000"
"69","  Blk 202A Compassvale Drive","HDB Executive •Apartment • Built-2001","130 sqm / $420 psf(Built)","$588,000"
"70","  Blk 70 Lorong 4 Toa Payoh","3 Room •Improved • Built-1969","64 sqm / $403 psf(Built)","$278,000"
"71","  Blk 472A Fernvale Rivergrove","5 Room •Design & Built • Built-2016","113 sqm / $475 psf(Built)","$578,000"
"72","  Blk 131B Kim Tian Road","4 Room •Model A • Built-2002","91 sqm / $702 psf(Built)","$688,000"
"73","  Blk 87 Dawson Road","3 Room •New Generation • Built-2015","65 sqm / $954 psf(Built)","$668,000"
"74","  Blk 515C The Premiere @ Tampines","5 Room •Improved • Built-2008","109 sqm / $664 psf(Built)","$780,000"
"75","  Blk 88 Redhill Close","4 Room •Model A • Built-1995","111 sqm / $702 psf(Built)","$838,888"
"76","  Blk 611 Hougang Avenue 8","4 Room •Simplified • Built-1986","84 sqm / $420 psf(Built)","$380,000"
"77","  Blk 428 Clementi Avenue 3","3 Room •Standard • Built-1978","66 sqm / $507 psf(Built)","$360,000"
"78","  Blk 310C Punggol Walk","5 Room •Model A • Built-2016","112 sqm / $538 psf(Built)","$650,000"
"79","  Blk 183C Boon Lay Avenue","4 Room •Model A • Built-2015","92 sqm / $484 psf(Built)","$480,000"
"80","  Blk 495B Tampines Street 43","3 Room •Built-1994","147 sqm / $403 psf(Built)","$638,888"
"81","  Blk 117 Edgefield Plains","5 Room •Model A • Built-2003","112 sqm / $402 psf(Built)","$485,000"
"82","  Blk 672A Klang Lane","5 Room •Improved • Built-2002","105 sqm / $495 psf(Built)","$560,000"
"83","  Blk 87 Dawson Road","3 Room •New Generation • Built-2015","65 sqm / $954 psf(Built)","$668,000"
"84","  Blk 442C Fajar Road","4 Room •Model A • Built-2015","93 sqm / $449 psf(Built)","$450,000"
"85","  Blk 121 Bedok North Road","4 Room •New Generation • Built-1978","92 sqm / $434 psf(Built)","$430,000"
"86","  Blk 111 Jurong East Street 13","5 Room •Improved • Built-1981","120 sqm / $386 psf(Built)","$500,000"
"87","  Blk 19 Bedok South Road","5 Room •Improved • Built-1976","119 sqm / $498 psf(Built)","$638,000"
"88","  Blk 308A Punggol Walk","4 Room •Model A • Built-2016","92 sqm / $520 psf(Built)","$515,000"
"89","  Blk 366 Clementi Avenue 2","3 Room •Model A • Built-2003","61 sqm / $639 psf(Built)","$420,000"
"90","  Blk 488A Tampines Avenue 9","5 Room •Improved • Built-1989","121 sqm / $445 psf(Built)","$580,000"
"91","  Blk 495B Tampines Street 43","3 Room •Built-1994","147 sqm / $403 psf(Built)","$638,888"
"92","  Blk 710 Ang Mo Kio Avenue 8","5 Room •Improved • Built-1980","117 sqm / $578 psf(Built)","$728,000"
"93","  Blk 716 Clementi West Street 2","4 Room •New Generation • Built-1981","91 sqm / $433 psf(Built)","$425,000"
"94","  Blk 639 Bedok Reservoir Road","HDB Executive •Apartment • Built-1993","144 sqm / $482 psf(Built)","$748,000"
"95","  Blk 32 Bedok South Avenue 2","5 Room •Standard • Built-1978","118 sqm / $470 psf(Built)","$598,000"
"96","  Blk 628 Bukit Batok Central","HDB Executive •Multi Generation • Built-1997","140 sqm / $484 psf(Built)","$730,000"
"97","  Blk 311C Trivelis","4 Room •New Generation • Built-2014","80 sqm / $915 psf(Built)","$788,000"
"98","  Blk 4 Sago Lane","3 Room •Improved • Built-1974","67 sqm / $624 psf(Built)","$450,000"
"99","  Blk 451A Sengkang West Way","4 Room •Model A • Built-2015","92 sqm / $463 psf(Built)","$458,800"
"100","  Blk 202A Compassvale Drive","HDB Executive •Apartment • Built-2001","130 sqm / $420 psf(Built)","$588,000"
"101","  Blk 183C Boon Lay Avenue","4 Room •Model A • Built-2015","92 sqm / $484 psf(Built)","$480,000"
"102","  Blk 320 Hougang Avenue 5","5 Room •Model A • Built-1983","121 sqm / $337 psf(Built)","$440,000"
"103","  Blk 612A Punggol Drive","4 Room •Model A • Built-2012","93 sqm / $437 psf(Built)","$438,000"
"104","  Blk 10A Tiong Bahru View","4 Room •Model A • Built-2016","92 sqm / $994 psf(Built)","$985,000"
"105","  Blk 287 Yishun Avenue 6","3 Room •Model A • Built-1985","74 sqm / $401 psf(Built)","$320,000"
"106","  Blk 17B Circuit Road","4 Room •Model A • Built-2016","93 sqm / $779 psf(Built)","$780,000"
"107","  Blk 611 Hougang Avenue 8","4 Room •Simplified • Built-1986","84 sqm / $420 psf(Built)","$380,000"
"108","  Blk 344 Ang Mo Kio Avenue 3","4 Room •New Generation • Built-1978","98 sqm / $454 psf(Built)","$480,000"
"109","  Blk 1G The Pinnacle@Duxton","4 Room •Premium Apartment • Built-2011","93 sqm / $968 psf(Built)","$969,000"
"110","  Blk 807A Chai Chee Road","3 Room •Model A • Built-2016","68 sqm / $710 psf(Built)","$520,000"
"111","  Blk 673B Edgefield Plains","4 Room •Model A • Built-2015","90 sqm / $490 psf(Built)","$475,000"
"112","  Blk 525C Pasir Ris Street 51","4 Room •Improved • Built-2015","93 sqm / $487 psf(Built)","$488,000"
"113","  Blk 172B Edgedale Plains","5 Room •Improved • Built-2004","110 sqm / $369 psf(Built)","$438,000"
"114","  Blk 325 Hougang Avenue 7","5 Room •Improved • Built-1983","121 sqm / $422 psf(Built)","$550,000"
"115","  Blk 308A Punggol Walk","4 Room •Model A • Built-2016","92 sqm / $555 psf(Built)","$550,000"
"116","  Blk 213C Punggol Walk","4 Room •Model A • Built-2015","93 sqm / $454 psf(Built)","$455,000"
"117","  Blk 23B Queen's Close","4 Room •Improved • Built-1973","89 sqm / $467 psf(Built)","$448,000"
"118","  Blk 68 Redhill Close","4 Room •Model A • Built-2001","85 sqm / $612 psf(Built)","$560,000"
"119","  Blk 298C Compassvale Street","HDB Executive •Executive Apartment • Built-2001","134 sqm / $402 psf(Built)","$580,000"
"120","  Blk 807C Choa Chu Kang Avenue 1","4 Room •Model A • Built-2015","92 sqm / $493 psf(Built)","$488,888"
"121","  Blk 138D Lake Vista @ Yuan Ching","4 Room •Dbss • Built-2014","91 sqm / $607 psf(Built)","$595,000"
"122","  Blk 105 Bedok Reservoir Road","3 Room •New Generation • Built-1985","67 sqm / $457 psf(Built)","$330,000"
"123","  Blk 442C Fajar Road","4 Room •Model A • Built-2015","93 sqm / $449 psf(Built)","$450,000"
"124","  Blk 298C Compassvale Street","HDB Executive •Executive Apartment • Built-2001","134 sqm / $402 psf(Built)","$580,000"
"125","  Blk 101 Yishun Avenue 5","3 Room •New Generation • Built-1978","68 sqm / $408 psf(Built)","$299,000"
"126","  Blk 695 Jurong West Central 1","5 Room •Design & Built • Built-1998","126 sqm / $441 psf(Built)","$598,000"
"127","  Blk 19 Bedok South Road","5 Room •Improved • Built-1976","119 sqm / $498 psf(Built)","$638,000"
"128","  Blk 221 Boon Lay Place","5 Room •Standard • Built-1976","109 sqm / $426 psf(Built)","$499,999"
"129","  Blk 111 Jurong East Street 13","5 Room •Improved • Built-1981","120 sqm / $386 psf(Built)","$500,000"
"130","  Blk 666B Punggol Drive","5 Room •Premium Apartment • Built-2016","113 sqm / $542 psf(Built)","$660,000"
"131","  Blk 28B Dover Crescent","4 Room •Model A • Built-2012","88 sqm / $726 psf(Built)","$688,000"
"132","  Blk 107 Jalan Bukit Merah","3 Room •Improved • Built-1970","63 sqm / $427 psf(Built)","$290,000"
"133","  Blk 519C Centrale 8 At Tampines","4 Room •Model A • Built-2014","84 sqm / $735 psf(Built)","$665,000"
"134","  Blk 183 Bedok North Road","4 Room •Model A • Built-2005","92 sqm / $631 psf(Built)","$625,000"
"135","  Blk 308 Shunfu Road","3 Room •New Generation • Built-1984","67 sqm / $624 psf(Built)","$450,000"
"136","  Blk 52 Telok Blangah Drive","5 Room •Improved • Built-1978","118 sqm / $511 psf(Built)","$650,000"
"137","  Blk 473A Upper Serangoon Crescent","5 Room •Improved • Built-2016","112 sqm / $497 psf(Built)","$600,000"
"138","  Blk 311B Trivelis","4 Room •Model A • Built-2014","82 sqm / $869 psf(Built)","$768,000"
"139","  Blk 6 Holland Close","3 Room •Improved • Built-1974","65 sqm / $540 psf(Built)","$378,000"
"140","  Blk 245 Pasir Ris Street 21","HDB Executive •Executive Apartment • Built-1993","150 sqm / $426 psf(Built)","$688,000"
"141","  Blk 476C Upper Serangoon View","5 Room •Built-2016","112 sqm / $580 psf(Built)","$700,000"
"142","  Blk 308A Punggol Walk","4 Room •Model A • Built-2016","92 sqm / $555 psf(Built)","$550,000"
"143","  Blk 183C Boon Lay Avenue","4 Room •Model A • Built-2015","92 sqm / $484 psf(Built)","$480,000"
"144","  Blk 436 Ang Mo Kio Avenue 10","4 Room •New Generation • Built-1979","92 sqm / $454 psf(Built)","$450,000"
"145","  Blk 469B Admiralty Drive","HDB Executive •Apartment • Built-2001","137 sqm / $332 psf(Built)","$490,000"
"146","  Blk 105 Bedok Reservoir Road","3 Room •New Generation • Built-1985","67 sqm / $457 psf(Built)","$330,000"
"147","  Blk 332B Anchorvale Link","5 Room •Improved • Built-2015","112 sqm / $538 psf(Built)","$650,000"
"148","  Blk 708 Tampines Street 71","5 Room •Improved • Built-1997","119 sqm / $441 psf(Built)","$565,000"
"149","  Blk 622C Punggol Central","4 Room •Model A • Built-2014","95 sqm / $444 psf(Built)","$455,000"
"150","  Blk 645 Punggol Central","5 Room •Standard • Built-2005","110 sqm / $375 psf(Built)","$445,000"
"151","  Blk 296C Compassvale Crescent","5 Room •Improved • Built-2002","110 sqm / $404 psf(Built)","$479,000"
"152","  Blk 267 Toh Guan Road","5 Room •Model A • Built-1998","121 sqm / $474 psf(Built)","$618,000"
"153","  Blk 310B Punggol Walk","4 Room •Improved • Built-2015","92 sqm / $563 psf(Built)","$558,000"
"154","  Blk 91 Dawson Road","4 Room •Model A • Built-2016","83 sqm / $923 psf(Built)","$825,000"
"155","  Blk 8 Holland Avenue","4 Room •Model A • Built-1974","82 sqm / $578 psf(Built)","$510,000"
"156","  Blk 15 Beach Road","4 Room •Built-1975","77 sqm / $624 psf(Built)","$518,000"
"157","  Blk 9 Holland Avenue","4 Room •Improved • Built-1974","86 sqm / $570 psf(Built)","$528,000"
"158","  Blk 443D Fajar Road","5 Room •Improved • Built-2016","113 sqm / $542 psf(Built)","$660,000"
"159","  Blk 332C Anchorvale Link","5 Room •Model A • Built-2015","112 sqm / $497 psf(Built)","$600,000"
"160","  Blk 260B Punggol Way","4 Room •Model A • Built-2015","93 sqm / $478 psf(Built)","$479,000"
"161","  Blk 212A Punggol Walk","5 Room •Standard • Built-2015","93 sqm / $467 psf(Built)","$468,000"
"162","  Blk 268C Punggol Field","4 Room •Model A • Built-2013","97 sqm / $522 psf(Built)","$545,000"
"163","  Blk 111A Depot Road","5 Room •Model A • Built-2006","115 sqm / $614 psf(Built)","$760,000"
"164","  Blk 522C Tampines Central 7","3 Room •Model A • Built-2015","93 sqm / $584 psf(Built)","$585,000"
"165","  Blk 63A Lengkok Bahru","4 Room •Standard • Built-2001","94 sqm / $750 psf(Built)","$760,000"
"166","  Blk 475D Parkland Residences","4 Room •Model A • Built-2014","92 sqm / $606 psf(Built)","$600,000"
"167","  Blk 520B Centrale 8 At Tampines","5 Room •Improved • Built-2014","108 sqm / $700 psf(Built)","$815,000"
"168","  Blk 310C Punggol Walk","4 Room •Model A • Built-2015","92 sqm / $515 psf(Built)","$510,000"
"169","  Blk 471A Fernvale Rivergrove","4 Room •Model A • Built-2016","92 sqm / $454 psf(Built)","$450,000"
"170","  Blk 155 Gangsa Road","HDB Executive •Apartment • Built-1998","140 sqm / $489 psf(Built)","$738,000"
"171","  Blk 469C Sengkang West Way","4 Room •New Generation • Built-2016","93 sqm / $499 psf(Built)","$500,000"
"172","  Blk 109 Bukit Purmei Road","3 Room •Model A • Built-1984","79 sqm / $469 psf(Built)","$399,000"
"173","  Blk 183 Jelebu Road","5 Room •Model A • Built-2003","110 sqm / $591 psf(Built)","$700,000"
"174","  Blk 93 Dawson Road","4 Room •Improved • Built-2015","83 sqm / $938 psf(Built)","$838,000"
"175","  Blk 308C Punggol Walk","5 Room •Improved • Built-2016","112 sqm / $646 psf(Built)","$780,000"
"176","  Blk 788D Woodlands Crescent","HDB Executive •Maisonette • Built-1999","143 sqm / $441 psf(Built)","$680,000"
"177","  Blk 310B Punggol Walk","4 Room •Model A • Built-2016","92 sqm / $604 psf(Built)","$598,000"
"178","  Blk 249 Tampines Street 21","4 Room •Model A • Built-1984","103 sqm / $458 psf(Built)","$508,000"
"179","  Blk 672A Klang Lane","5 Room •Improved • Built-2002","105 sqm / $495 psf(Built)","$560,000"
"180","  Blk 342 Clementi Avenue 5","5 Room •Improved • Built-1979","123 sqm / $475 psf(Built)","$630,000"
"181","  Blk 91 Dawson Road","5 Room •Model A • Built-2016","99 sqm / $1,002 psf(Built)","$1,068,888"
"182","  Blk 268C Punggol Field","4 Room •Model A • Built-2013","93 sqm / $538 psf(Built)","$538,888"
"183","  Blk 301 Shunfu Road","HDB Executive •Maisonette • Built-1985","148 sqm / $677 psf(Built)","$1,080,000"
"184","  Blk 665 Jalan Damai","HDB Executive •Maisonette • Built-2020","146 sqm / $515 psf(Built)","$810,000"
"185","  Blk 8 Holland Avenue","4 Room •Model A • Built-1974","82 sqm / $578 psf(Built)","$510,000"
"186","  Blk 224 Serangoon Avenue 4","4 Room •New Generation • Built-1984","92 sqm / $464 psf(Built)","$460,000"
"187","  Blk 310B Punggol Walk","3 Room •Model A • Built-2016","67 sqm / $589 psf(Built)","$425,000"
"188","  Blk 531 Serangoon North Avenue 4","5 Room •Improved • Built-1992","122 sqm / $394 psf(Built)","$518,000"
"189","  Blk 519B Centrale 8 At Tampines","5 Room •Model A • Built-2014","108 sqm / $743 psf(Built)","$865,000"
"190","  Blk 407A Fernvale Road","5 Room •Improved • Built-2004","110 sqm / $439 psf(Built)","$520,000"
"191","  Blk 443D Fajar Road","5 Room •Improved • Built-2016","113 sqm / $542 psf(Built)","$660,000"
"192","  Blk 260C Punggol Way","4 Room •Model A • Built-2016","93 sqm / $499 psf(Built)","$500,000"
"193","  Blk 671 Hougang Avenue 8","4 Room •Model A • Built-1987","104 sqm / $356 psf(Built)","$399,000"
"194","  Blk 167 Bishan Street 13","4 Room •Model A • Built-1988","104 sqm / $445 psf(Built)","$499,000"
"195","  Blk 126 Simei Street 1","5 Room •Improved • Built-1988","125 sqm / $400 psf(Built)","$538,888"
"196","  Blk 268C Punggol Field","4 Room •Model A • Built-2013","97 sqm / $522 psf(Built)","$545,000"
"197","  Blk 88 Telok Blangah Heights","4 Room •Model A • Built-2003","85 sqm / $708 psf(Built)","$648,000"
"198","  Blk 414 Serangoon Central","5 Room •Improved • Built-1989","121 sqm / $576 psf(Built)","$750,000"
"199","  Blk 308A Punggol Walk","4 Room •Model A • Built-2016","92 sqm / $543 psf(Built)","$538,000"
"200","  Blk 6 Holland Close","3 Room •Improved • Built-1974","65 sqm / $540 psf(Built)","$378,000"
"201","  Blk 331 Tah Ching Road","HDB Executive •Apartment • Built-1996","139 sqm / $433 psf(Built)","$648,000"
"202","  Blk 530C Pasir Ris One","4 Room •Model A • Built-2015","86 sqm / $796 psf(Built)","$737,999"
"203","  Blk 461 Choa Chu Kang Avenue 4","5 Room •Improved • Built-1998","123 sqm / $398 psf(Built)","$528,000"
"204","  Blk 672A Klang Lane","5 Room •Improved • Built-2002","105 sqm / $495 psf(Built)","$560,000"
