"","Month.of.Launch","Town/Estate","Estimated.Flats","2-room Flexi","3-room","4-room","5-room","lon","lat","Type"
"1","November 2020","Sembawang",720,"No","Yes","Yes","Yes",103.823202,1.443867,"BTO"
"2","November 2020","Tengah",1570,"No","Yes","Yes","Yes",103.730409,1.358622,"BTO"
"3","November 2020","Bishan",1500,"No","Yes","Yes","No",103.853475,1.351645,"BTO"
"4","November 2020","Tampines",750,"No","No","Yes","Yes",103.936451,1.339557,"BTO"
"5","November 2020","Toa Payoh",880,"No","Yes","Yes","Yes",103.879971,1.341481,"BTO"
"5.1","November 2020","Toa Payoh",350,"No","Yes","Yes","Yes",103.875043,1.33843,"BTO"
